sample,model,variable,coef,se,p,stars,n
FULL,M3_cubic,fsts_c,0.3264,0.1581,0.039,**,8229
FULL,M3_cubic,fsts_c2,0.6186,0.8355,0.459,,8229
FULL,M3_cubic,fsts_c3,-1.7925,0.8313,0.0311,**,8229
FULL,M4_TCI,fsts_c,0.2041,0.1612,0.2056,,8202
FULL,M4_TCI,fsts_c2,1.1085,0.8252,0.1792,,8202
FULL,M4_TCI,fsts_c3,-2.1554,0.8168,0.0083,***,8202
FULL,M4_TCI,tci_z,0.1939,0.019,0.0,***,8202
FULL,M4_TCI,fsts_x_tci,-0.152,0.1096,0.1653,,8202
FULL,M4_TCI,fsts2_x_tci,0.1102,0.1725,0.5231,,8202
FULL,M5_DAI,fsts_c,0.312,0.1584,0.0489,**,8228
FULL,M5_DAI,fsts_c2,0.6276,0.8319,0.4506,,8228
FULL,M5_DAI,fsts_c3,-1.7725,0.8272,0.0321,**,8228
FULL,M5_DAI,dai_z,0.1195,0.0199,0.0,***,8228
FULL,M5_DAI,fsts_x_dai,-0.1826,0.1172,0.1192,,8228
FULL,M5_DAI,fsts2_x_dai,0.2852,0.1903,0.1338,,8228
FULL,M7_full,fsts_c,0.2219,0.1606,0.1669,,8201
FULL,M7_full,fsts_c2,1.058,0.8248,0.1996,,8201
FULL,M7_full,fsts_c3,-2.1114,0.8169,0.0098,***,8201
FULL,M7_full,tci_z,0.1818,0.0228,0.0,***,8201
FULL,M7_full,fsts_x_tci,-0.0089,0.1334,0.9469,,8201
FULL,M7_full,fsts2_x_tci,-0.1302,0.2064,0.5283,,8201
FULL,M7_full,dai_z,0.0339,0.0241,0.1589,,8201
FULL,M7_full,fsts_x_dai,-0.3206,0.1437,0.0257,**,8201
FULL,M7_full,fsts2_x_dai,0.5108,0.2279,0.025,**,8201
CHN_2012,M3_cubic,fsts_c,1.1934,0.3059,0.0001,***,2684
CHN_2012,M3_cubic,fsts_c2,-3.7721,1.5805,0.017,**,2684
CHN_2012,M3_cubic,fsts_c3,2.4586,1.4907,0.0991,*,2684
CHN_2012,M4_TCI,fsts_c,1.24,0.3026,0.0,***,2670
CHN_2012,M4_TCI,fsts_c2,-3.6981,1.5618,0.0179,**,2670
CHN_2012,M4_TCI,fsts_c3,2.2138,1.4701,0.1321,,2670
CHN_2012,M4_TCI,tci_z,0.044,0.0325,0.1751,,2670
CHN_2012,M4_TCI,fsts_x_tci,-0.5798,0.2367,0.0143,**,2670
CHN_2012,M4_TCI,fsts2_x_tci,0.922,0.353,0.009,***,2670
CHN_2012,M5_DAI,fsts_c,1.2281,0.2997,0.0,***,2684
CHN_2012,M5_DAI,fsts_c2,-3.9984,1.5936,0.0121,**,2684
CHN_2012,M5_DAI,fsts_c3,2.6169,1.5037,0.0818,*,2684
CHN_2012,M5_DAI,dai_z,0.019,0.0324,0.5583,,2684
CHN_2012,M5_DAI,fsts_x_dai,-0.2923,0.241,0.2252,,2684
CHN_2012,M5_DAI,fsts2_x_dai,0.6725,0.3647,0.0651,*,2684
CHN_2012,M7_full,fsts_c,1.2518,0.3062,0.0,***,2670
CHN_2012,M7_full,fsts_c2,-3.9243,1.5931,0.0138,**,2670
CHN_2012,M7_full,fsts_c3,2.4626,1.4954,0.0996,*,2670
CHN_2012,M7_full,tci_z,0.042,0.0362,0.2464,,2670
CHN_2012,M7_full,fsts_x_tci,-0.5492,0.2681,0.0405,**,2670
CHN_2012,M7_full,fsts2_x_tci,0.7389,0.3974,0.063,*,2670
CHN_2012,M7_full,dai_z,0.0104,0.0359,0.7723,,2670
CHN_2012,M7_full,fsts_x_dai,-0.0297,0.2703,0.9124,,2670
CHN_2012,M7_full,fsts2_x_dai,0.2771,0.4084,0.4974,,2670
CHN_2024,M3_cubic,fsts_c,1.3127,0.4785,0.0061,***,1944
CHN_2024,M3_cubic,fsts_c2,-2.8994,2.0481,0.1569,,1944
CHN_2024,M3_cubic,fsts_c3,1.4447,1.8426,0.433,,1944
CHN_2024,M4_TCI,fsts_c,0.7805,0.5457,0.1527,,1941
CHN_2024,M4_TCI,fsts_c2,-0.5872,2.1378,0.7835,,1941
CHN_2024,M4_TCI,fsts_c3,-0.4099,1.8594,0.8255,,1941
CHN_2024,M4_TCI,tci_z,0.2944,0.0394,0.0,***,1941
CHN_2024,M4_TCI,fsts_x_tci,-0.5368,0.3108,0.0842,*,1941
CHN_2024,M4_TCI,fsts2_x_tci,0.3176,0.4714,0.5005,,1941
CHN_2024,M5_DAI,fsts_c,0.8972,0.4968,0.0709,*,1944
CHN_2024,M5_DAI,fsts_c2,-1.4651,2.0697,0.479,,1944
CHN_2024,M5_DAI,fsts_c3,0.4577,1.8413,0.8037,,1944
CHN_2024,M5_DAI,dai_z,0.1869,0.038,0.0,***,1944
CHN_2024,M5_DAI,fsts_x_dai,0.1942,0.3043,0.5232,,1944
CHN_2024,M5_DAI,fsts2_x_dai,-0.5702,0.4873,0.242,,1944
CHN_2024,M7_full,fsts_c,0.7053,0.5321,0.185,,1941
CHN_2024,M7_full,fsts_c2,-0.2637,2.1171,0.9009,,1941
CHN_2024,M7_full,fsts_c3,-0.6704,1.8501,0.7171,,1941
CHN_2024,M7_full,tci_z,0.2289,0.0494,0.0,***,1941
CHN_2024,M7_full,fsts_x_tci,-0.9656,0.4521,0.0327,**,1941
CHN_2024,M7_full,fsts2_x_tci,0.9961,0.6171,0.1065,,1941
