sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
CHN_2012,M0_controls,const,13.798,0.1683,81.985,0.0,***,13.4682,14.1279,2684,0.0284,0.0273
CHN_2012,M0_controls,log_emp,-0.0874,0.0176,-4.967,0.0,***,-0.1219,-0.0529,2684,0.0284,0.0273
CHN_2012,M0_controls,firm_age,-0.4933,0.0711,-6.936,0.0,***,-0.6327,-0.3539,2684,0.0284,0.0273
CHN_2012,M0_controls,fdi10,0.126,0.0882,1.429,0.1531,,-0.0468,0.2988,2684,0.0284,0.0273
CHN_2012,M1_linear,const,13.8085,0.1692,81.616,0.0,***,13.4769,14.1401,2684,0.0289,0.0275
CHN_2012,M1_linear,fsts_c,0.1079,0.092,1.173,0.2408,,-0.0724,0.2882,2684,0.0289,0.0275
CHN_2012,M1_linear,log_emp,-0.09,0.0179,-5.044,0.0,***,-0.125,-0.0551,2684,0.0289,0.0275
CHN_2012,M1_linear,firm_age,-0.4925,0.0711,-6.93,0.0,***,-0.6318,-0.3532,2684,0.0289,0.0275
CHN_2012,M1_linear,fdi10,0.1059,0.0901,1.175,0.2398,,-0.0707,0.2824,2684,0.0289,0.0275
CHN_2012,M2_quadratic,const,13.9292,0.1708,81.537,0.0,***,13.5943,14.264,2684,0.0335,0.0316
CHN_2012,M2_quadratic,fsts_c,0.8488,0.2248,3.775,0.0002,***,0.4081,1.2895,2684,0.0335,0.0316
CHN_2012,M2_quadratic,fsts_c2,-1.203,0.3458,-3.479,0.0005,***,-1.8807,-0.5254,2684,0.0335,0.0316
CHN_2012,M2_quadratic,log_emp,-0.0989,0.0179,-5.522,0.0,***,-0.134,-0.0638,2684,0.0335,0.0316
CHN_2012,M2_quadratic,firm_age,-0.4975,0.0708,-7.032,0.0,***,-0.6362,-0.3589,2684,0.0335,0.0316
CHN_2012,M2_quadratic,fdi10,0.0826,0.0899,0.919,0.3581,,-0.0936,0.2588,2684,0.0335,0.0316
CHN_2012,M3_cubic,const,14.0008,0.1784,78.472,0.0,***,13.6511,14.3505,2684,0.0344,0.0322
CHN_2012,M3_cubic,fsts_c,1.1934,0.3059,3.901,0.0001,***,0.5939,1.7929,2684,0.0344,0.0322
CHN_2012,M3_cubic,fsts_c2,-3.7721,1.5805,-2.387,0.017,**,-6.8698,-0.6744,2684,0.0344,0.0322
CHN_2012,M3_cubic,fsts_c3,2.4586,1.4907,1.649,0.0991,*,-0.4631,5.3803,2684,0.0344,0.0322
CHN_2012,M3_cubic,log_emp,-0.1005,0.0179,-5.62,0.0,***,-0.1356,-0.0655,2684,0.0344,0.0322
CHN_2012,M3_cubic,firm_age,-0.4974,0.0706,-7.041,0.0,***,-0.6359,-0.359,2684,0.0344,0.0322
CHN_2012,M3_cubic,fdi10,0.0843,0.0899,0.938,0.3482,,-0.0919,0.2606,2684,0.0344,0.0322
CHN_2012,M4_TCI,const,14.0413,0.1775,79.103,0.0,***,13.6934,14.3892,2670,0.0447,0.0414
CHN_2012,M4_TCI,fsts_c,1.24,0.3026,4.098,0.0,***,0.6469,1.8331,2670,0.0447,0.0414
CHN_2012,M4_TCI,fsts_c2,-3.6981,1.5618,-2.368,0.0179,**,-6.7591,-0.637,2670,0.0447,0.0414
CHN_2012,M4_TCI,fsts_c3,2.2138,1.4701,1.506,0.1321,,-0.6676,5.0951,2670,0.0447,0.0414
CHN_2012,M4_TCI,tci_z,0.044,0.0325,1.356,0.1751,,-0.0196,0.1076,2670,0.0447,0.0414
CHN_2012,M4_TCI,fsts_x_tci,-0.5798,0.2367,-2.45,0.0143,**,-1.0437,-0.116,2670,0.0447,0.0414
CHN_2012,M4_TCI,fsts2_x_tci,0.922,0.353,2.612,0.009,***,0.2301,1.6139,2670,0.0447,0.0414
CHN_2012,M4_TCI,log_emp,-0.1189,0.0185,-6.441,0.0,***,-0.1551,-0.0827,2670,0.0447,0.0414
CHN_2012,M4_TCI,firm_age,-0.4709,0.071,-6.636,0.0,***,-0.61,-0.3318,2670,0.0447,0.0414
CHN_2012,M4_TCI,fdi10,0.0762,0.0894,0.852,0.394,,-0.0991,0.2515,2670,0.0447,0.0414
CHN_2012,M5_DAI,const,13.9772,0.1768,79.051,0.0,***,13.6306,14.3237,2684,0.0391,0.0359
CHN_2012,M5_DAI,fsts_c,1.2281,0.2997,4.098,0.0,***,0.6407,1.8156,2684,0.0391,0.0359
CHN_2012,M5_DAI,fsts_c2,-3.9984,1.5936,-2.509,0.0121,**,-7.1217,-0.8751,2684,0.0391,0.0359
CHN_2012,M5_DAI,fsts_c3,2.6169,1.5037,1.74,0.0818,*,-0.3303,5.564,2684,0.0391,0.0359
CHN_2012,M5_DAI,dai_z,0.019,0.0324,0.585,0.5583,,-0.0446,0.0826,2684,0.0391,0.0359
CHN_2012,M5_DAI,fsts_x_dai,-0.2923,0.241,-1.213,0.2252,,-0.7646,0.1801,2684,0.0391,0.0359
CHN_2012,M5_DAI,fsts2_x_dai,0.6725,0.3647,1.844,0.0651,*,-0.0422,1.3873,2684,0.0391,0.0359
CHN_2012,M5_DAI,log_emp,-0.106,0.0181,-5.87,0.0,***,-0.1414,-0.0706,2684,0.0391,0.0359
CHN_2012,M5_DAI,firm_age,-0.4682,0.0706,-6.627,0.0,***,-0.6067,-0.3298,2684,0.0391,0.0359
CHN_2012,M5_DAI,fdi10,0.0848,0.0894,0.949,0.3428,,-0.0905,0.2602,2684,0.0391,0.0359
CHN_2012,M6_TCI_DAI,const,14.013,0.1787,78.412,0.0,***,13.6627,14.3633,2670,0.0425,0.0396
CHN_2012,M6_TCI_DAI,fsts_c,1.0685,0.3078,3.471,0.0005,***,0.4652,1.6718,2670,0.0425,0.0396
CHN_2012,M6_TCI_DAI,fsts_c2,-3.4139,1.5805,-2.16,0.0308,**,-6.5116,-0.3162,2670,0.0425,0.0396
CHN_2012,M6_TCI_DAI,fsts_c3,2.2079,1.4853,1.486,0.1371,,-0.7032,5.119,2670,0.0425,0.0396
CHN_2012,M6_TCI_DAI,tci_z,0.094,0.0258,3.646,0.0003,***,0.0435,0.1445,2670,0.0425,0.0396
CHN_2012,M6_TCI_DAI,dai_z,0.0229,0.0249,0.919,0.3579,,-0.0259,0.0716,2670,0.0425,0.0396
CHN_2012,M6_TCI_DAI,log_emp,-0.1201,0.0185,-6.496,0.0,***,-0.1564,-0.0839,2670,0.0425,0.0396
CHN_2012,M6_TCI_DAI,firm_age,-0.4647,0.0714,-6.51,0.0,***,-0.6046,-0.3248,2670,0.0425,0.0396
CHN_2012,M6_TCI_DAI,fdi10,0.0562,0.0899,0.625,0.532,,-0.12,0.2323,2670,0.0425,0.0396
CHN_2012,M7_full,const,14.0283,0.1781,78.766,0.0,***,13.6792,14.3773,2670,0.0456,0.0413
CHN_2012,M7_full,fsts_c,1.2518,0.3062,4.088,0.0,***,0.6517,1.8519,2670,0.0456,0.0413
CHN_2012,M7_full,fsts_c2,-3.9243,1.5931,-2.463,0.0138,**,-7.0468,-0.8019,2670,0.0456,0.0413
CHN_2012,M7_full,fsts_c3,2.4626,1.4954,1.647,0.0996,*,-0.4684,5.3936,2670,0.0456,0.0413
CHN_2012,M7_full,tci_z,0.042,0.0362,1.159,0.2464,,-0.029,0.1131,2670,0.0456,0.0413
CHN_2012,M7_full,fsts_x_tci,-0.5492,0.2681,-2.048,0.0405,**,-1.0747,-0.0237,2670,0.0456,0.0413
CHN_2012,M7_full,fsts2_x_tci,0.7389,0.3974,1.859,0.063,*,-0.04,1.5178,2670,0.0456,0.0413
CHN_2012,M7_full,dai_z,0.0104,0.0359,0.289,0.7723,,-0.0601,0.0809,2670,0.0456,0.0413
CHN_2012,M7_full,fsts_x_dai,-0.0297,0.2703,-0.11,0.9124,,-0.5595,0.5,2670,0.0456,0.0413
CHN_2012,M7_full,fsts2_x_dai,0.2771,0.4084,0.679,0.4974,,-0.5233,1.0775,2670,0.0456,0.0413
CHN_2012,M7_full,log_emp,-0.1192,0.0185,-6.456,0.0,***,-0.1553,-0.083,2670,0.0456,0.0413
CHN_2012,M7_full,firm_age,-0.4611,0.0712,-6.477,0.0,***,-0.6007,-0.3216,2670,0.0456,0.0413
CHN_2012,M7_full,fdi10,0.0774,0.0895,0.864,0.3874,,-0.098,0.2527,2670,0.0456,0.0413
CHN_2024,M0_controls,const,13.0779,0.1677,77.972,0.0,***,12.7491,13.4066,1944,0.0531,0.0516
CHN_2024,M0_controls,log_emp,0.1293,0.0212,6.096,0.0,***,0.0877,0.1709,1944,0.0531,0.0516
CHN_2024,M0_controls,firm_age,-0.3127,0.0696,-4.494,0.0,***,-0.449,-0.1763,1944,0.0531,0.0516
CHN_2024,M0_controls,fdi10,0.2076,0.1127,1.841,0.0656,*,-0.0134,0.4285,1944,0.0531,0.0516
CHN_2024,M1_linear,const,13.1006,0.169,77.52,0.0,***,12.7693,13.4318,1944,0.0538,0.0519
CHN_2024,M1_linear,fsts_c,0.1568,0.1189,1.318,0.1875,,-0.0764,0.3899,1944,0.0538,0.0519
CHN_2024,M1_linear,log_emp,0.1258,0.0214,5.88,0.0,***,0.0838,0.1677,1944,0.0538,0.0519
CHN_2024,M1_linear,firm_age,-0.3176,0.0699,-4.546,0.0,***,-0.4545,-0.1806,1944,0.0538,0.0519
CHN_2024,M1_linear,fdi10,0.1789,0.1156,1.548,0.1216,,-0.0476,0.4055,1944,0.0538,0.0519
CHN_2024,M2_quadratic,const,13.1941,0.1718,76.787,0.0,***,12.8574,13.5309,1944,0.0564,0.054
CHN_2024,M2_quadratic,fsts_c,1.0242,0.3448,2.97,0.003,***,0.3483,1.7,1944,0.0564,0.054
CHN_2024,M2_quadratic,fsts_c2,-1.2778,0.4985,-2.564,0.0104,**,-2.2548,-0.3009,1944,0.0564,0.054
CHN_2024,M2_quadratic,log_emp,0.1163,0.0219,5.32,0.0,***,0.0735,0.1592,1944,0.0564,0.054
CHN_2024,M2_quadratic,firm_age,-0.3118,0.0698,-4.471,0.0,***,-0.4486,-0.1751,1944,0.0564,0.054
CHN_2024,M2_quadratic,fdi10,0.1809,0.1138,1.589,0.1121,,-0.0422,0.404,1944,0.0564,0.054
CHN_2024,M3_cubic,const,13.235,0.1765,75.003,0.0,***,12.8891,13.5808,1944,0.0566,0.0537
CHN_2024,M3_cubic,fsts_c,1.3127,0.4785,2.743,0.0061,***,0.3748,2.2505,1944,0.0566,0.0537
CHN_2024,M3_cubic,fsts_c2,-2.8994,2.0481,-1.416,0.1569,,-6.9136,1.1148,1944,0.0566,0.0537
CHN_2024,M3_cubic,fsts_c3,1.4447,1.8426,0.784,0.433,,-2.1668,5.0562,1944,0.0566,0.0537
CHN_2024,M3_cubic,log_emp,0.115,0.0219,5.247,0.0,***,0.072,0.1579,1944,0.0566,0.0537
CHN_2024,M3_cubic,firm_age,-0.3118,0.0698,-4.468,0.0,***,-0.4486,-0.175,1944,0.0566,0.0537
CHN_2024,M3_cubic,fdi10,0.1788,0.1141,1.567,0.1171,,-0.0448,0.4025,1944,0.0566,0.0537
CHN_2024,M4_TCI,const,13.4405,0.1769,75.976,0.0,***,13.0937,13.7872,1941,0.0985,0.0943
CHN_2024,M4_TCI,fsts_c,0.7805,0.5457,1.43,0.1527,,-0.2891,1.8501,1941,0.0985,0.0943
CHN_2024,M4_TCI,fsts_c2,-0.5872,2.1378,-0.275,0.7835,,-4.7772,3.6027,1941,0.0985,0.0943
CHN_2024,M4_TCI,fsts_c3,-0.4099,1.8594,-0.22,0.8255,,-4.0543,3.2344,1941,0.0985,0.0943
CHN_2024,M4_TCI,tci_z,0.2944,0.0394,7.467,0.0,***,0.2171,0.3717,1941,0.0985,0.0943
CHN_2024,M4_TCI,fsts_x_tci,-0.5368,0.3108,-1.727,0.0842,*,-1.146,0.0725,1941,0.0985,0.0943
CHN_2024,M4_TCI,fsts2_x_tci,0.3176,0.4714,0.674,0.5005,,-0.6063,1.2415,1941,0.0985,0.0943
CHN_2024,M4_TCI,log_emp,0.0327,0.023,1.423,0.1548,,-0.0123,0.0776,1941,0.0985,0.0943
CHN_2024,M4_TCI,firm_age,-0.2813,0.0683,-4.122,0.0,***,-0.4151,-0.1475,1941,0.0985,0.0943
CHN_2024,M4_TCI,fdi10,0.0724,0.1167,0.621,0.5348,,-0.1562,0.3011,1941,0.0985,0.0943
CHN_2024,M5_DAI,const,13.2621,0.1781,74.458,0.0,***,12.913,13.6112,1944,0.0694,0.0651
CHN_2024,M5_DAI,fsts_c,0.8972,0.4968,1.806,0.0709,*,-0.0765,1.8709,1944,0.0694,0.0651
CHN_2024,M5_DAI,fsts_c2,-1.4651,2.0697,-0.708,0.479,,-5.5215,2.5914,1944,0.0694,0.0651
CHN_2024,M5_DAI,fsts_c3,0.4577,1.8413,0.249,0.8037,,-3.1511,4.0665,1944,0.0694,0.0651
CHN_2024,M5_DAI,dai_z,0.1869,0.038,4.918,0.0,***,0.1124,0.2614,1944,0.0694,0.0651
CHN_2024,M5_DAI,fsts_x_dai,0.1942,0.3043,0.638,0.5232,,-0.4021,0.7906,1944,0.0694,0.0651
CHN_2024,M5_DAI,fsts2_x_dai,-0.5702,0.4873,-1.17,0.242,,-1.5253,0.3849,1944,0.0694,0.0651
CHN_2024,M5_DAI,log_emp,0.0814,0.0232,3.5,0.0005,***,0.0358,0.1269,1944,0.0694,0.0651
CHN_2024,M5_DAI,firm_age,-0.2795,0.0691,-4.043,0.0001,***,-0.4149,-0.144,1944,0.0694,0.0651
CHN_2024,M5_DAI,fdi10,0.1163,0.1146,1.015,0.3103,,-0.1084,0.3409,1944,0.0694,0.0651
CHN_2024,M6_TCI_DAI,const,13.4206,0.1736,77.299,0.0,***,13.0803,13.7608,1941,0.096,0.0923
CHN_2024,M6_TCI_DAI,fsts_c,0.5356,0.4848,1.105,0.2693,,-0.4146,1.4859,1941,0.096,0.0923
CHN_2024,M6_TCI_DAI,fsts_c2,-0.4497,2.0446,-0.22,0.8259,,-4.4571,3.5577,1941,0.096,0.0923
CHN_2024,M6_TCI_DAI,fsts_c3,-0.3131,1.8237,-0.172,0.8637,,-3.8875,3.2613,1941,0.096,0.0923
CHN_2024,M6_TCI_DAI,tci_z,0.2775,0.0337,8.245,0.0,***,0.2116,0.3435,1941,0.096,0.0923
CHN_2024,M6_TCI_DAI,dai_z,0.0645,0.033,1.953,0.0508,*,-0.0002,0.1293,1941,0.096,0.0923
CHN_2024,M6_TCI_DAI,log_emp,0.0263,0.0236,1.115,0.2648,,-0.0199,0.0725,1941,0.096,0.0923
CHN_2024,M6_TCI_DAI,firm_age,-0.2704,0.0677,-3.992,0.0001,***,-0.4031,-0.1376,1941,0.096,0.0923
CHN_2024,M6_TCI_DAI,fdi10,0.0133,0.1165,0.114,0.9093,,-0.215,0.2415,1941,0.096,0.0923
CHN_2024,M7_full,const,13.4409,0.1769,75.981,0.0,***,13.0942,13.7876,1941,0.1019,0.0963
CHN_2024,M7_full,fsts_c,0.7053,0.5321,1.326,0.185,,-0.3376,1.7482,1941,0.1019,0.0963
CHN_2024,M7_full,fsts_c2,-0.2637,2.1171,-0.125,0.9009,,-4.413,3.8857,1941,0.1019,0.0963
CHN_2024,M7_full,fsts_c3,-0.6704,1.8501,-0.362,0.7171,,-4.2965,2.9558,1941,0.1019,0.0963
CHN_2024,M7_full,tci_z,0.2289,0.0494,4.631,0.0,***,0.132,0.3258,1941,0.1019,0.0963
CHN_2024,M7_full,fsts_x_tci,-0.9656,0.4521,-2.136,0.0327,**,-1.8516,-0.0795,1941,0.1019,0.0963
CHN_2024,M7_full,fsts2_x_tci,0.9961,0.6171,1.614,0.1065,,-0.2133,2.2056,1941,0.1019,0.0963
CHN_2024,M7_full,dai_z,0.1265,0.0467,2.71,0.0067,***,0.035,0.218,1941,0.1019,0.0963
CHN_2024,M7_full,fsts_x_dai,0.5805,0.4438,1.308,0.1908,,-0.2893,1.4504,1941,0.1019,0.0963
CHN_2024,M7_full,fsts2_x_dai,-0.9992,0.6263,-1.595,0.1106,,-2.2268,0.2284,1941,0.1019,0.0963
CHN_2024,M7_full,log_emp,0.0251,0.0236,1.06,0.2892,,-0.0213,0.0714,1941,0.1019,0.0963
CHN_2024,M7_full,firm_age,-0.2698,0.0678,-3.98,0.0001,***,-0.4026,-0.1369,1941,0.1019,0.0963
CHN_2024,M7_full,fdi10,0.0529,0.1165,0.454,0.6497,,-0.1754,0.2812,1941,0.1019,0.0963
CHN_pooled,M0_controls,const,13.2777,0.1257,105.658,0.0,***,13.0314,13.524,4628,0.0632,0.0624
CHN_pooled,M0_controls,log_emp,0.0136,0.0137,0.992,0.3214,,-0.0132,0.0403,4628,0.0632,0.0624
CHN_pooled,M0_controls,firm_age,-0.4408,0.0499,-8.84,0.0,***,-0.5386,-0.3431,4628,0.0632,0.0624
CHN_pooled,M0_controls,fdi10,0.1765,0.0699,2.525,0.0116,**,0.0395,0.3136,4628,0.0632,0.0624
CHN_pooled,M1_linear,const,13.294,0.1266,104.998,0.0,***,13.0458,13.5421,4628,0.0638,0.0628
CHN_pooled,M1_linear,fsts_c,0.123,0.0731,1.683,0.0924,*,-0.0203,0.2664,4628,0.0638,0.0628
CHN_pooled,M1_linear,log_emp,0.0107,0.0138,0.775,0.4383,,-0.0164,0.0378,4628,0.0638,0.0628
CHN_pooled,M1_linear,firm_age,-0.4425,0.0499,-8.862,0.0,***,-0.5404,-0.3447,4628,0.0638,0.0628
CHN_pooled,M1_linear,fdi10,0.1539,0.0716,2.15,0.0316,**,0.0136,0.2942,4628,0.0638,0.0628
CHN_pooled,M2_quadratic,const,13.3954,0.1282,104.5,0.0,***,13.1442,13.6467,4628,0.0667,0.0655
CHN_pooled,M2_quadratic,fsts_c,0.8415,0.1899,4.43,0.0,***,0.4692,1.2137,4628,0.0667,0.0655
CHN_pooled,M2_quadratic,fsts_c2,-1.1206,0.284,-3.946,0.0001,***,-1.6772,-0.564,4628,0.0667,0.0655
CHN_pooled,M2_quadratic,log_emp,0.0026,0.0139,0.184,0.8544,,-0.0248,0.0299,4628,0.0667,0.0655
CHN_pooled,M2_quadratic,firm_age,-0.442,0.0498,-8.875,0.0,***,-0.5396,-0.3444,4628,0.0667,0.0655
CHN_pooled,M2_quadratic,fdi10,0.1421,0.0711,1.999,0.0456,**,0.0028,0.2815,4628,0.0667,0.0655
CHN_pooled,M3_cubic,const,13.4469,0.1336,100.653,0.0,***,13.185,13.7087,4628,0.0671,0.0656
CHN_pooled,M3_cubic,fsts_c,1.1022,0.2585,4.263,0.0,***,0.5955,1.6089,4628,0.0671,0.0656
CHN_pooled,M3_cubic,fsts_c2,-2.8834,1.2475,-2.311,0.0208,**,-5.3284,-0.4383,4628,0.0671,0.0656
CHN_pooled,M3_cubic,fsts_c3,1.6497,1.1604,1.422,0.1551,,-0.6247,3.9241,4628,0.0671,0.0656
CHN_pooled,M3_cubic,log_emp,0.0014,0.014,0.103,0.9181,,-0.0259,0.0288,4628,0.0671,0.0656
CHN_pooled,M3_cubic,firm_age,-0.4422,0.0498,-8.88,0.0,***,-0.5398,-0.3446,4628,0.0671,0.0656
CHN_pooled,M3_cubic,fdi10,0.1414,0.0712,1.988,0.0468,**,0.002,0.2809,4628,0.0671,0.0656
CHN_pooled,M4_TCI,const,13.543,0.1327,102.085,0.0,***,13.2829,13.803,4611,0.087,0.085
CHN_pooled,M4_TCI,fsts_c,0.9259,0.2653,3.49,0.0005,***,0.4059,1.4459,4611,0.087,0.085
CHN_pooled,M4_TCI,fsts_c2,-2.1541,1.2464,-1.728,0.0839,*,-4.5971,0.2888,4611,0.087,0.085
CHN_pooled,M4_TCI,fsts_c3,1.0295,1.15,0.895,0.3707,,-1.2245,3.2835,4611,0.087,0.085
CHN_pooled,M4_TCI,tci_z,0.171,0.0247,6.935,0.0,***,0.1226,0.2193,4611,0.087,0.085
CHN_pooled,M4_TCI,fsts_x_tci,-0.2914,0.183,-1.592,0.1114,,-0.65,0.0673,4611,0.087,0.085
CHN_pooled,M4_TCI,fsts2_x_tci,0.3138,0.2792,1.124,0.2611,,-0.2335,0.8611,4611,0.087,0.085
CHN_pooled,M4_TCI,log_emp,-0.041,0.0144,-2.842,0.0045,***,-0.0693,-0.0127,4611,0.087,0.085
CHN_pooled,M4_TCI,firm_age,-0.405,0.0494,-8.195,0.0,***,-0.5019,-0.3082,4611,0.087,0.085
CHN_pooled,M4_TCI,fdi10,0.0877,0.0708,1.24,0.215,,-0.051,0.2264,4611,0.087,0.085
CHN_pooled,M5_DAI,const,13.4554,0.1326,101.511,0.0,***,13.1956,13.7152,4628,0.0743,0.0723
CHN_pooled,M5_DAI,fsts_c,1.0229,0.2551,4.009,0.0001,***,0.5228,1.5229,4628,0.0743,0.0723
CHN_pooled,M5_DAI,fsts_c2,-2.8035,1.2495,-2.244,0.0248,**,-5.2525,-0.3546,4628,0.0743,0.0723
CHN_pooled,M5_DAI,fsts_c3,1.663,1.1636,1.429,0.1529,,-0.6176,3.9436,4628,0.0743,0.0723
CHN_pooled,M5_DAI,dai_z,0.1177,0.0241,4.88,0.0,***,0.0704,0.165,4628,0.0743,0.0723
CHN_pooled,M5_DAI,fsts_x_dai,0.1008,0.1806,0.558,0.5767,,-0.2531,0.4547,4628,0.0743,0.0723
CHN_pooled,M5_DAI,fsts2_x_dai,-0.1268,0.2902,-0.437,0.6623,,-0.6956,0.442,4628,0.0743,0.0723
CHN_pooled,M5_DAI,log_emp,-0.0163,0.0143,-1.139,0.2547,,-0.0444,0.0118,4628,0.0743,0.0723
CHN_pooled,M5_DAI,firm_age,-0.4095,0.0496,-8.261,0.0,***,-0.5067,-0.3124,4628,0.0743,0.0723
CHN_pooled,M5_DAI,fdi10,0.1081,0.0708,1.526,0.1269,,-0.0307,0.2468,4628,0.0743,0.0723
CHN_pooled,M6_TCI_DAI,const,13.524,0.1322,102.333,0.0,***,13.265,13.783,4611,0.0874,0.0856
CHN_pooled,M6_TCI_DAI,fsts_c,0.8314,0.2608,3.188,0.0014,***,0.3202,1.3426,4611,0.0874,0.0856
CHN_pooled,M6_TCI_DAI,fsts_c2,-2.0727,1.2409,-1.67,0.0949,*,-4.5048,0.3595,4611,0.0874,0.0856
CHN_pooled,M6_TCI_DAI,fsts_c3,1.0689,1.1462,0.933,0.351,,-1.1776,3.3153,4611,0.0874,0.0856
CHN_pooled,M6_TCI_DAI,tci_z,0.1699,0.0204,8.319,0.0,***,0.1299,0.21,4611,0.0874,0.0856
CHN_pooled,M6_TCI_DAI,dai_z,0.0444,0.0199,2.227,0.026,**,0.0053,0.0834,4611,0.0874,0.0856
CHN_pooled,M6_TCI_DAI,log_emp,-0.044,0.0145,-3.025,0.0025,***,-0.0725,-0.0155,4611,0.0874,0.0856
CHN_pooled,M6_TCI_DAI,firm_age,-0.3938,0.0493,-7.981,0.0,***,-0.4905,-0.2971,4611,0.0874,0.0856
CHN_pooled,M6_TCI_DAI,fdi10,0.0702,0.0707,0.994,0.3204,,-0.0683,0.2087,4611,0.0874,0.0856
CHN_pooled,M7_full,const,13.5431,0.1325,102.18,0.0,***,13.2833,13.8029,4611,0.0882,0.0857
CHN_pooled,M7_full,fsts_c,0.9398,0.2649,3.548,0.0004,***,0.4206,1.4591,4611,0.0882,0.0857
CHN_pooled,M7_full,fsts_c2,-2.2967,1.2535,-1.832,0.0669,*,-4.7535,0.1602,4611,0.0882,0.0857
CHN_pooled,M7_full,fsts_c3,1.1693,1.1548,1.012,0.3113,,-1.0942,3.4327,4611,0.0882,0.0857
CHN_pooled,M7_full,tci_z,0.1349,0.0293,4.596,0.0,***,0.0774,0.1924,4611,0.0882,0.0857
CHN_pooled,M7_full,fsts_x_tci,-0.4673,0.2336,-2.001,0.0454,**,-0.9251,-0.0095,4611,0.0882,0.0857
CHN_pooled,M7_full,fsts2_x_tci,0.5495,0.3352,1.639,0.1012,,-0.1075,1.2065,4611,0.0882,0.0857
CHN_pooled,M7_full,dai_z,0.0701,0.0288,2.436,0.0148,**,0.0137,0.1265,4611,0.0882,0.0857
CHN_pooled,M7_full,fsts_x_dai,0.2701,0.2322,1.164,0.2446,,-0.1849,0.7251,4611,0.0882,0.0857
CHN_pooled,M7_full,fsts2_x_dai,-0.3642,0.347,-1.05,0.2939,,-1.0444,0.3159,4611,0.0882,0.0857
CHN_pooled,M7_full,log_emp,-0.0439,0.0145,-3.02,0.0025,***,-0.0724,-0.0154,4611,0.0882,0.0857
CHN_pooled,M7_full,firm_age,-0.3965,0.0494,-8.034,0.0,***,-0.4932,-0.2998,4611,0.0882,0.0857
CHN_pooled,M7_full,fdi10,0.0808,0.0707,1.143,0.2532,,-0.0578,0.2194,4611,0.0882,0.0857
SGP_2023,M0_controls,const,11.8186,0.2625,45.023,0.0,***,11.3041,12.3331,623,0.0422,0.0376
SGP_2023,M0_controls,log_emp,-0.1409,0.0372,-3.788,0.0002,***,-0.2137,-0.068,623,0.0422,0.0376
SGP_2023,M0_controls,firm_age,-0.0737,0.1208,-0.611,0.5414,,-0.3104,0.1629,623,0.0422,0.0376
SGP_2023,M0_controls,fdi10,0.3622,0.0934,3.877,0.0001,***,0.1791,0.5452,623,0.0422,0.0376
SGP_2023,M1_linear,const,11.6438,0.2289,50.875,0.0,***,11.1952,12.0923,623,0.1605,0.1551
SGP_2023,M1_linear,fsts_c,1.8549,0.2266,8.185,0.0,***,1.4107,2.2991,623,0.1605,0.1551
SGP_2023,M1_linear,log_emp,-0.1451,0.0368,-3.947,0.0001,***,-0.2172,-0.0731,623,0.1605,0.1551
SGP_2023,M1_linear,firm_age,0.0437,0.1008,0.433,0.6647,,-0.1539,0.2412,623,0.1605,0.1551
SGP_2023,M1_linear,fdi10,0.261,0.0864,3.02,0.0025,***,0.0916,0.4304,623,0.1605,0.1551
SGP_2023,M2_quadratic,const,11.641,0.2231,52.169,0.0,***,11.2037,12.0784,623,0.1767,0.1701
SGP_2023,M2_quadratic,fsts_c,3.4838,0.5128,6.794,0.0,***,2.4788,4.4888,623,0.1767,0.1701
SGP_2023,M2_quadratic,fsts_c2,-2.6754,0.7617,-3.512,0.0004,***,-4.1683,-1.1825,623,0.1767,0.1701
SGP_2023,M2_quadratic,log_emp,-0.1379,0.0364,-3.791,0.0001,***,-0.2091,-0.0666,623,0.1767,0.1701
SGP_2023,M2_quadratic,firm_age,0.0871,0.0989,0.881,0.3786,,-0.1067,0.2809,623,0.1767,0.1701
SGP_2023,M2_quadratic,fdi10,0.2591,0.0857,3.022,0.0025,***,0.0911,0.4271,623,0.1767,0.1701
SGP_2023,M3_cubic,const,11.7234,0.2405,48.749,0.0,***,11.2521,12.1948,623,0.1779,0.1699
SGP_2023,M3_cubic,fsts_c,4.0877,0.8895,4.595,0.0,***,2.3442,5.8311,623,0.1779,0.1699
SGP_2023,M3_cubic,fsts_c2,-6.1635,4.1369,-1.49,0.1363,,-14.2716,1.9446,623,0.1779,0.1699
SGP_2023,M3_cubic,fsts_c3,3.2109,3.5807,0.897,0.3699,,-3.8073,10.229,623,0.1779,0.1699
SGP_2023,M3_cubic,log_emp,-0.1402,0.0364,-3.85,0.0001,***,-0.2115,-0.0688,623,0.1779,0.1699
SGP_2023,M3_cubic,firm_age,0.0777,0.0992,0.784,0.4331,,-0.1166,0.2721,623,0.1779,0.1699
SGP_2023,M3_cubic,fdi10,0.261,0.0857,3.045,0.0023,***,0.093,0.4289,623,0.1779,0.1699
