sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
P1_2009_2013,M0_controls,const,11.517,0.0992,116.158,0.0,***,11.3227,11.7114,3680,0.8787,0.8785
P1_2009_2013,M0_controls,log_emp,-0.1009,0.0151,-6.7,0.0,***,-0.1305,-0.0714,3680,0.8787,0.8785
P1_2009_2013,M0_controls,firm_age,-0.4819,0.0632,-7.624,0.0,***,-0.6058,-0.358,3680,0.8787,0.8785
P1_2009_2013,M0_controls,fdi10,0.1651,0.0751,2.199,0.0279,**,0.0179,0.3123,3680,0.8787,0.8785
P1_2009_2013,M1_linear,const,11.4902,0.101,113.768,0.0,***,11.2922,11.6881,3680,0.8789,0.8787
P1_2009_2013,M1_linear,fsts_c,-0.1655,0.0758,-2.182,0.0291,**,-0.3141,-0.0169,3680,0.8789,0.8787
P1_2009_2013,M1_linear,log_emp,-0.0932,0.0156,-5.987,0.0,***,-0.1237,-0.0627,3680,0.8789,0.8787
P1_2009_2013,M1_linear,firm_age,-0.4793,0.0632,-7.579,0.0,***,-0.6032,-0.3553,3680,0.8789,0.8787
P1_2009_2013,M1_linear,fdi10,0.203,0.0771,2.633,0.0085,***,0.0519,0.3541,3680,0.8789,0.8787
P1_2009_2013,M2_quadratic,const,11.578,0.1035,111.814,0.0,***,11.3751,11.7809,3680,0.8792,0.879
P1_2009_2013,M2_quadratic,fsts_c,0.3567,0.1841,1.937,0.0527,*,-0.0042,0.7176,3680,0.8792,0.879
P1_2009_2013,M2_quadratic,fsts_c2,-0.9284,0.3023,-3.071,0.0021,***,-1.521,-0.3359,3680,0.8792,0.879
P1_2009_2013,M2_quadratic,log_emp,-0.1007,0.0157,-6.432,0.0,***,-0.1314,-0.07,3680,0.8792,0.879
P1_2009_2013,M2_quadratic,firm_age,-0.4812,0.0631,-7.628,0.0,***,-0.6049,-0.3576,3680,0.8792,0.879
P1_2009_2013,M2_quadratic,fdi10,0.1858,0.0768,2.418,0.0156,**,0.0352,0.3363,3680,0.8792,0.879
P1_2009_2013,M3_cubic,const,11.6094,0.1103,105.214,0.0,***,11.3931,11.8256,3680,0.8792,0.879
P1_2009_2013,M3_cubic,fsts_c,0.4249,0.2009,2.115,0.0344,**,0.0312,0.8185,3680,0.8792,0.879
P1_2009_2013,M3_cubic,fsts_c2,-1.8776,1.0741,-1.748,0.0805,*,-3.9828,0.2277,3680,0.8792,0.879
P1_2009_2013,M3_cubic,fsts_c3,1.0023,1.088,0.921,0.357,,-1.1302,3.1348,3680,0.8792,0.879
P1_2009_2013,M3_cubic,log_emp,-0.1016,0.0157,-6.483,0.0,***,-0.1323,-0.0709,3680,0.8792,0.879
P1_2009_2013,M3_cubic,firm_age,-0.4806,0.063,-7.624,0.0,***,-0.6042,-0.3571,3680,0.8792,0.879
P1_2009_2013,M3_cubic,fdi10,0.1836,0.0768,2.39,0.0168,**,0.033,0.3341,3680,0.8792,0.879
P1_2009_2013,M4_TCI,const,-3222840999931.3813,2909981304470.892,-1.108,0.2681,,-8926299552379.215,2480617552516.4526,3662,0.881,0.8806
P1_2009_2013,M4_TCI,fsts_c,0.4094,0.2011,2.036,0.0418,**,0.0153,0.8035,3662,0.881,0.8806
P1_2009_2013,M4_TCI,fsts_c2,-1.7812,1.0796,-1.65,0.099,*,-3.8973,0.3349,3662,0.881,0.8806
P1_2009_2013,M4_TCI,fsts_c3,0.9039,1.1042,0.819,0.413,,-1.2603,3.0681,3662,0.881,0.8806
P1_2009_2013,M4_TCI,tci_z,0.1031,0.0291,3.543,0.0004,***,0.0461,0.1601,3662,0.881,0.8806
P1_2009_2013,M4_TCI,fsts_x_tci,-0.4006,0.1556,-2.574,0.01,**,-0.7057,-0.0956,3662,0.881,0.8806
P1_2009_2013,M4_TCI,fsts2_x_tci,0.6561,0.254,2.583,0.0098,***,0.1583,1.1538,3662,0.881,0.8806
P1_2009_2013,M4_TCI,log_emp,-0.135,0.0162,-8.321,0.0,***,-0.1668,-0.1032,3662,0.881,0.8806
P1_2009_2013,M4_TCI,firm_age,-0.4441,0.063,-7.053,0.0,***,-0.5675,-0.3207,3662,0.881,0.8806
P1_2009_2013,M4_TCI,fdi10,0.1534,0.0754,2.035,0.0418,**,0.0057,0.3012,3662,0.881,0.8806
P1_2009_2013,M5_DAI,const,11.5956,0.1094,106.0,0.0,***,11.3812,11.81,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,fsts_c,0.4741,0.1983,2.391,0.0168,**,0.0854,0.8628,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,fsts_c2,-1.9566,1.071,-1.827,0.0677,*,-4.0558,0.1426,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,fsts_c3,1.0034,1.0808,0.928,0.3532,,-1.1149,3.1216,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,dai_z,0.0369,0.0301,1.225,0.2205,,-0.0221,0.096,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,fsts_x_dai,-0.479,0.1623,-2.952,0.0032,***,-0.7971,-0.161,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,fsts2_x_dai,0.9609,0.2675,3.592,0.0003,***,0.4365,1.4853,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,log_emp,-0.1158,0.0158,-7.337,0.0,***,-0.1467,-0.0849,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,firm_age,-0.4315,0.0629,-6.865,0.0,***,-0.5547,-0.3083,3680,0.8809,0.8806
P1_2009_2013,M5_DAI,fdi10,0.1786,0.0753,2.372,0.0177,**,0.031,0.3261,3680,0.8809,0.8806
P1_2009_2013,M6_TCI_DAI,const,-1651405049977.8276,2440212981494.545,-0.677,0.4986,,-6434134608314.24,3131324508358.5854,3662,0.8807,0.8804
P1_2009_2013,M6_TCI_DAI,fsts_c,0.3656,0.1998,1.83,0.0672,*,-0.0259,0.7572,3662,0.8807,0.8804
P1_2009_2013,M6_TCI_DAI,fsts_c2,-1.5816,1.0513,-1.504,0.1325,,-3.6421,0.4788,3662,0.8807,0.8804
P1_2009_2013,M6_TCI_DAI,fsts_c3,0.772,1.0672,0.723,0.4694,,-1.3196,2.8637,3662,0.8807,0.8804
P1_2009_2013,M6_TCI_DAI,tci_z,0.1272,0.0225,5.658,0.0,***,0.0831,0.1713,3662,0.8807,0.8804
P1_2009_2013,M6_TCI_DAI,dai_z,0.066,0.0216,3.05,0.0023,***,0.0236,0.1084,3662,0.8807,0.8804
P1_2009_2013,M6_TCI_DAI,log_emp,-0.1358,0.0162,-8.396,0.0,***,-0.1675,-0.1041,3662,0.8807,0.8804
P1_2009_2013,M6_TCI_DAI,firm_age,-0.4277,0.0632,-6.762,0.0,***,-0.5516,-0.3037,3662,0.8807,0.8804
P1_2009_2013,M6_TCI_DAI,fdi10,0.1465,0.0753,1.946,0.0517,*,-0.0011,0.294,3662,0.8807,0.8804
P1_2009_2013,M7_full,const,-1645781853538.167,2361324349163.2324,-0.697,0.4858,,-6273892533715.586,2982328826639.252,3662,0.8819,0.8815
P1_2009_2013,M7_full,fsts_c,0.4376,0.2011,2.176,0.0295,**,0.0435,0.8318,3662,0.8819,0.8815
P1_2009_2013,M7_full,fsts_c2,-1.5121,1.0695,-1.414,0.1574,,-3.6084,0.5841,3662,0.8819,0.8815
P1_2009_2013,M7_full,fsts_c3,0.5554,1.084,0.512,0.6084,,-1.5692,2.6799,3662,0.8819,0.8815
P1_2009_2013,M7_full,tci_z,0.1179,0.0341,3.459,0.0005,***,0.0511,0.1848,3662,0.8819,0.8815
P1_2009_2013,M7_full,fsts_x_tci,-0.1792,0.1793,-0.999,0.3176,,-0.5305,0.1722,3662,0.8819,0.8815
P1_2009_2013,M7_full,fsts2_x_tci,0.1543,0.2936,0.526,0.5991,,-0.4212,0.7299,3662,0.8819,0.8815
P1_2009_2013,M7_full,dai_z,-0.0161,0.0355,-0.452,0.6509,,-0.0857,0.0535,3662,0.8819,0.8815
P1_2009_2013,M7_full,fsts_x_dai,-0.4696,0.1886,-2.49,0.0128,**,-0.8393,-0.1,3662,0.8819,0.8815
P1_2009_2013,M7_full,fsts2_x_dai,0.9659,0.313,3.086,0.002,***,0.3524,1.5794,3662,0.8819,0.8815
P1_2009_2013,M7_full,log_emp,-0.1368,0.0163,-8.416,0.0,***,-0.1687,-0.105,3662,0.8819,0.8815
P1_2009_2013,M7_full,firm_age,-0.4189,0.063,-6.652,0.0,***,-0.5424,-0.2955,3662,0.8819,0.8815
P1_2009_2013,M7_full,fdi10,0.1568,0.0747,2.1,0.0357,**,0.0105,0.3032,3662,0.8819,0.8815
P2_2014_2018,M0_controls,const,21.5144,0.3589,59.953,0.0,***,20.811,22.2177,968,0.0175,0.0144
P2_2014_2018,M0_controls,log_emp,-0.1043,0.0313,-3.334,0.0009,***,-0.1657,-0.043,968,0.0175,0.0144
P2_2014_2018,M0_controls,firm_age,-0.5652,0.1619,-3.492,0.0005,***,-0.8824,-0.248,968,0.0175,0.0144
P2_2014_2018,M0_controls,fdi10,0.0253,0.1531,0.165,0.8689,,-0.2748,0.3254,968,0.0175,0.0144
P2_2014_2018,M1_linear,const,21.2043,0.3651,58.072,0.0,***,20.4887,21.92,968,0.0319,0.0279
P2_2014_2018,M1_linear,fsts_c,-0.5619,0.1376,-4.083,0.0,***,-0.8317,-0.2922,968,0.0319,0.0279
P2_2014_2018,M1_linear,log_emp,-0.0599,0.0327,-1.83,0.0672,*,-0.124,0.0043,968,0.0319,0.0279
P2_2014_2018,M1_linear,firm_age,-0.4942,0.1612,-3.065,0.0022,***,-0.8102,-0.1782,968,0.0319,0.0279
P2_2014_2018,M1_linear,fdi10,0.1733,0.1518,1.142,0.2536,,-0.1242,0.4708,968,0.0319,0.0279
P2_2014_2018,M2_quadratic,const,21.551,0.3679,58.582,0.0,***,20.83,22.272,968,0.044,0.039
P2_2014_2018,M2_quadratic,fsts_c,0.8213,0.3925,2.093,0.0364,**,0.0521,1.5906,968,0.044,0.039
P2_2014_2018,M2_quadratic,fsts_c2,-2.4331,0.6387,-3.809,0.0001,***,-3.6851,-1.1812,968,0.044,0.039
P2_2014_2018,M2_quadratic,log_emp,-0.0761,0.0326,-2.337,0.0195,**,-0.1399,-0.0123,968,0.044,0.039
P2_2014_2018,M2_quadratic,firm_age,-0.4982,0.1574,-3.165,0.0016,***,-0.8067,-0.1897,968,0.044,0.039
