sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
FULL,M0_controls,const,11.7592,0.0795,147.865,0.0,***,11.6034,11.9151,8229,0.8942,0.8941
FULL,M0_controls,log_emp,-0.0302,0.0105,-2.879,0.004,***,-0.0508,-0.0096,8229,0.8942,0.8941
FULL,M0_controls,firm_age,-0.4461,0.0423,-10.559,0.0,***,-0.529,-0.3633,8229,0.8942,0.8941
FULL,M0_controls,fdi10,0.1786,0.0463,3.859,0.0001,***,0.0879,0.2693,8229,0.8942,0.8941
FULL,M1_linear,const,11.7168,0.0811,144.514,0.0,***,11.5579,11.8757,8229,0.8944,0.8943
FULL,M1_linear,fsts_c,-0.1876,0.0534,-3.512,0.0004,***,-0.2923,-0.0829,8229,0.8944,0.8943
FULL,M1_linear,log_emp,-0.0211,0.0108,-1.95,0.0512,*,-0.0423,0.0001,8229,0.8944,0.8943
FULL,M1_linear,firm_age,-0.4392,0.0423,-10.375,0.0,***,-0.5222,-0.3563,8229,0.8944,0.8943
FULL,M1_linear,fdi10,0.215,0.0471,4.564,0.0,***,0.1227,0.3074,8229,0.8944,0.8943
FULL,M2_quadratic,const,11.811,0.0824,143.395,0.0,***,11.6495,11.9724,8229,0.8947,0.8946
FULL,M2_quadratic,fsts_c,0.4866,0.1397,3.483,0.0005,***,0.2128,0.7604,8229,0.8947,0.8946
FULL,M2_quadratic,fsts_c2,-1.1339,0.2215,-5.118,0.0,***,-1.5681,-0.6997,8229,0.8947,0.8946
FULL,M2_quadratic,log_emp,-0.0287,0.0109,-2.639,0.0083,***,-0.0501,-0.0074,8229,0.8947,0.8946
FULL,M2_quadratic,firm_age,-0.4359,0.0422,-10.317,0.0,***,-0.5187,-0.3531,8229,0.8947,0.8946
FULL,M2_quadratic,fdi10,0.2087,0.0469,4.453,0.0,***,0.1169,0.3006,8229,0.8947,0.8946
FULL,M3_cubic,const,11.7479,0.0877,133.951,0.0,***,11.576,11.9198,8229,0.8948,0.8947
FULL,M3_cubic,fsts_c,0.3264,0.1581,2.064,0.039,**,0.0165,0.6364,8229,0.8948,0.8947
FULL,M3_cubic,fsts_c2,0.6186,0.8355,0.74,0.459,,-1.0188,2.2561,8229,0.8948,0.8947
FULL,M3_cubic,fsts_c3,-1.7925,0.8313,-2.156,0.0311,**,-3.4219,-0.1631,8229,0.8948,0.8947
FULL,M3_cubic,log_emp,-0.0273,0.0109,-2.503,0.0123,**,-0.0486,-0.0059,8229,0.8948,0.8947
FULL,M3_cubic,firm_age,-0.4343,0.0422,-10.283,0.0,***,-0.5171,-0.3515,8229,0.8948,0.8947
FULL,M3_cubic,fdi10,0.2127,0.0469,4.531,0.0,***,0.1207,0.3046,8229,0.8948,0.8947
FULL,M4_TCI,const,11.8166,0.0872,135.454,0.0,***,11.6456,11.9875,8202,0.897,0.8968
FULL,M4_TCI,fsts_c,0.2041,0.1612,1.266,0.2056,,-0.1119,0.52,8202,0.897,0.8968
FULL,M4_TCI,fsts_c2,1.1085,0.8252,1.343,0.1792,,-0.5089,2.7259,8202,0.897,0.8968
FULL,M4_TCI,fsts_c3,-2.1554,0.8168,-2.639,0.0083,***,-3.7563,-0.5544,8202,0.897,0.8968
FULL,M4_TCI,tci_z,0.1939,0.019,10.222,0.0,***,0.1567,0.231,8202,0.897,0.8968
FULL,M4_TCI,fsts_x_tci,-0.152,0.1096,-1.387,0.1653,,-0.3667,0.0627,8202,0.897,0.8968
FULL,M4_TCI,fsts2_x_tci,0.1102,0.1725,0.639,0.5231,,-0.228,0.4484,8202,0.897,0.8968
FULL,M4_TCI,log_emp,-0.0737,0.0113,-6.504,0.0,***,-0.0959,-0.0515,8202,0.897,0.8968
FULL,M4_TCI,firm_age,-0.3926,0.0419,-9.368,0.0,***,-0.4748,-0.3105,8202,0.897,0.8968
FULL,M4_TCI,fdi10,0.1583,0.0462,3.428,0.0006,***,0.0678,0.2487,8202,0.897,0.8968
FULL,M5_DAI,const,11.7695,0.0871,135.128,0.0,***,11.5988,11.9402,8228,0.8961,0.8959
FULL,M5_DAI,fsts_c,0.312,0.1584,1.969,0.0489,**,0.0015,0.6225,8228,0.8961,0.8959
FULL,M5_DAI,fsts_c2,0.6276,0.8319,0.754,0.4506,,-1.0029,2.2581,8228,0.8961,0.8959
