sample_a,sample_b,coef_a,coef_b,z,p2,diff
CHN_2012,CHN_2024,1.1934,1.3127,-0.21,0.8336,-0.1193
CHN_2012,CHN_pooled,1.1934,1.1022,0.228,0.8199,0.0912
CHN_2012,SGP_2023,1.1934,4.0877,-3.077,0.0021,-2.8943
CHN_2012,VNM_2009,1.1934,0.23,2.042,0.0412,0.9634
CHN_2012,VNM_2015,1.1934,0.6621,1.017,0.3093,0.5313
CHN_2012,VNM_2023,1.1934,0.1625,1.797,0.0723,1.0309
CHN_2012,VNM_pooled,1.1934,0.4133,2.077,0.0378,0.7801
CHN_2024,CHN_pooled,1.3127,1.1022,0.387,0.6987,0.2105
CHN_2024,SGP_2023,1.3127,4.0877,-2.747,0.006,-2.775
CHN_2024,VNM_2009,1.3127,0.23,1.809,0.0704,1.0827
CHN_2024,VNM_2015,1.3127,0.6621,1.018,0.3087,0.6506
CHN_2024,VNM_2023,1.3127,0.1625,1.688,0.0915,1.1502
CHN_2024,VNM_pooled,1.3127,0.4133,1.711,0.0871,0.8994
CHN_pooled,SGP_2023,1.1022,4.0877,-3.223,0.0013,-2.9855
CHN_pooled,VNM_2009,1.1022,0.23,1.971,0.0488,0.8722
CHN_pooled,VNM_2015,1.1022,0.6621,0.887,0.3752,0.4401
CHN_pooled,VNM_2023,1.1022,0.1625,1.709,0.0875,0.9397
CHN_pooled,VNM_pooled,1.1022,0.4133,2.038,0.0415,0.6889
SGP_2023,VNM_2009,4.0877,0.23,4.021,0.0001,3.8577
SGP_2023,VNM_2015,4.0877,0.6621,3.477,0.0005,3.4256
SGP_2023,VNM_2023,4.0877,0.1625,3.874,0.0001,3.9252
SGP_2023,VNM_pooled,4.0877,0.4133,4.012,0.0001,3.6744
VNM_2009,VNM_2015,0.23,0.6621,-0.778,0.4367,-0.4321
VNM_2009,VNM_2023,0.23,0.1625,0.112,0.911,0.0675
VNM_2009,VNM_pooled,0.23,0.4133,-0.436,0.6626,-0.1833
VNM_2015,VNM_2023,0.6621,0.1625,0.775,0.438,0.4996
VNM_2015,VNM_pooled,0.6621,0.4133,0.522,0.6015,0.2488
VNM_2023,VNM_pooled,0.1625,0.4133,-0.471,0.6373,-0.2508
