region,country,year,tag,filename,rel_path,size_bytes,size_mb,md5_8,n_obs,n_vars,core_vars
South Asia,Afghanistan,2014,fulldata,Afghanistan_2014.dta,raw/Afghanistan/Afghanistan_2014.dta,423632,0.4,8b5d1a4f,410,307,35
South Asia,Afghanistan,2025,expansion,Afghanistan_2025_expansion.dta,raw/Afghanistan/Afghanistan_2025_expansion.dta,433275,0.41,29ee5f4a,54,336,30
South Asia,Afghanistan,2025,fulldata,Afghanistan_2025.dta,raw/Afghanistan/Afghanistan_2025.dta,684633,0.65,2bb9edb3,426,336,30
West Asia,Armenia,2009,fulldata,Armenia_2009.dta,raw/Armenia/Armenia_2009.dta,371459,0.35,9a6c4352,374,283,30
West Asia,Armenia,2013,full_data,Armenia_2013_full_data.dta,raw/Armenia/Armenia_2013_full_data.dta,1160528,1.11,f2b19dc7,360,388,36
West Asia,Armenia,2020,full_data,Armenia_2020_full_data.dta,raw/Armenia/Armenia_2020_full_data.dta,1167868,1.11,12e7b386,546,434,35
West Asia,Armenia,2024,fulldata,Armenia_2024.dta,raw/Armenia/Armenia_2024.dta,632031,0.6,e99b1b8a,375,340,30
West Asia,Bahrain,2024,fulldata,Bahrain_2024.dta,raw/Bahrain/Bahrain_2024.dta,298292,0.28,d258046a,150,339,30
South Asia,Bangladesh,2013,fulldata,Bangladesh_2013.dta,raw/Bangladesh/Bangladesh_2013.dta,1108450,1.06,492e8175,1442,300,35
South Asia,Bangladesh,2022,fulldata,Bangladesh_2022.dta,raw/Bangladesh/Bangladesh_2022.dta,1843053,1.76,7a8ab0bf,998,490,34
South Asia,Bhutan,2009,fulldata,Bhutan_2009.dta,raw/Bhutan/Bhutan_2009.dta,225393,0.21,1e6dca21,250,213,29
South Asia,Bhutan,2015,fulldata,Bhutan_2015.dta,raw/Bhutan/Bhutan_2015.dta,388220,0.37,0474ba2d,253,307,34
South Asia,Bhutan,2024,fulldata,Bhutan_2024.dta,raw/Bhutan/Bhutan_2024.dta,299960,0.29,6a77a1ae,155,339,30
Southeast Asia,Brunei,2025,fulldata,Brunei_2025.dta,raw/Brunei/Brunei_2025.dta,237289,0.23,a9208775,150,336,30
Southeast Asia,Cambodia,2013,fulldata,Cambodia_2013.dta,raw/Cambodia/Cambodia_2013.dta,1130624,1.08,faf1f5fc,472,579,2
Southeast Asia,Cambodia,2016,fulldata,Cambodia_2016.dta,raw/Cambodia/Cambodia_2016.dta,1896993,1.81,45478af9,373,353,36
