wave,param,beta,se,p,n
2009,FSTS_c,0.36947008124673786,0.3685358839719947,0.31608532519910715,734
2009,FSTS_c2,-0.8340007516804959,0.6677978013783329,0.21170818248053414,734
2009,TCI_z,0.22412816047862394,0.06027166561829109,0.00020030440260331334,734
2009,DAI_z,0.12168490366575663,0.05585058988995817,0.02934967165363189,734
2009,lnEmp,-0.17758693562441646,0.042496843106305485,2.9301706417071225e-05,734
2009,FirmAge,0.006504023072103993,0.00372701719804896,0.08096721330530532,734
2009,ForeignOwned,0.4759247996511109,0.1223379705375767,0.00010014265305374782,734
2015,FSTS_c,0.7315505215324482,0.490305673437853,0.1356914158449853,614
2015,FSTS_c2,-1.8584978721398417,0.7687367913136826,0.015623251347146061,614
2015,TCI_z,0.16801738263409477,0.07051075239473446,0.017178639255917696,614
2015,DAI_z,0.007331003473386638,0.06983565426338957,0.9163955818130025,614
2015,lnEmp,-0.045478910497727454,0.04207513137289925,0.2797426454431502,614
2015,FirmAge,-0.0006526493969672637,0.005355343554339988,0.9030029099603596,614
2015,ForeignOwned,0.17987994064784393,0.15941799398816944,0.25917042137311364,614
2023,FSTS_c,0.7067254272070953,0.5183042876067667,0.1727143320524951,974
2023,FSTS_c2,-1.2656445854273422,0.6997082208933021,0.07047933606260384,974
2023,TCI_z,0.08945744642213488,0.05353435081182941,0.09471597302108435,974
2023,DAI_z,0.10816507095986738,0.05382965773890949,0.044495209186840204,974
2023,lnEmp,0.048693438030255505,0.03739157021208593,0.19282850936132867,974
2023,FirmAge,0.005998448230690841,0.006086516336291768,0.3243634975409122,974
2023,ForeignOwned,0.23778792710636346,0.12454943765312575,0.056238221318859874,974
pooled,FSTS_c,0.29969285805212587,0.25667459376072854,0.24296877537101103,2322
pooled,FSTS_c2,-1.004868490591982,0.39888354125155523,0.01176209258724684,2322
pooled,TCI_z,0.1915959787097934,0.03585284913033618,9.094062499994164e-08,2322
pooled,DAI_z,0.08467919837196937,0.03503440532079549,0.01564774006873471,2322
pooled,lnEmp,-0.06651773884433392,0.024159247865581514,0.005899719628618781,2322
pooled,FirmAge,0.006368221808985109,0.0027363590814334835,0.01995137742693295,2322
pooled,ForeignOwned,0.287161275891417,0.08115368831973235,0.00040242700696419513,2322
