wave,param,beta,se,p,n,spec
2009,FSTS×TCI,-0.6828395597924453,0.28837212424574005,0.017888832764510847,734,H2_moderation
2009,FSTS²×TCI,0.916364211258815,0.5428869171832716,0.0914214499833878,734,H2_moderation
2009,H2_joint_F,3.5366842069168856,,0.029616467310982844,734,H2_moderation
2015,FSTS×TCI,0.06118230106506607,0.3635927433145267,0.8663696835510244,614,H2_moderation
2015,FSTS²×TCI,-0.3535512997049366,0.5985152860892444,0.5547121319730446,614,H2_moderation
2015,H2_joint_F,0.6496811182512504,,0.5225792372967493,614,H2_moderation
2023,FSTS×TCI,-0.4807116728574579,0.3522532406667481,0.17235479058700376,974,H2_moderation
2023,FSTS²×TCI,0.33288352645511726,0.4924382994857261,0.4990467873437404,974,H2_moderation
2023,H2_joint_F,3.0921279984793584,,0.045858701816212155,974,H2_moderation
pooled,FSTS×TCI,-0.3740029430262615,0.17781236599060632,0.03543454562536508,2322,H2_moderation
pooled,FSTS²×TCI,0.3688689578117589,0.2893537972755846,0.20237913890787695,2322,H2_moderation
pooled,H2_joint_F,3.6049204539339947,,0.027343079788218257,2322,H2_moderation
2009,FSTS×DAI,-0.46408373249182916,0.3084843236960461,0.13247847441949182,734,H4_moderation
2009,FSTS²×DAI,0.6806883972022724,0.5760741101886866,0.23736498512103077,734,H4_moderation
2009,H4_joint_F,1.3113579763197012,,0.27009667072599924,734,H4_moderation
2015,FSTS×DAI,-0.13251464535345708,0.4826973125795639,0.7836777467787033,614,H4_moderation
2015,FSTS²×DAI,-0.36441119256927157,0.7823566071808989,0.6413682863981501,614,H4_moderation
2015,H4_joint_F,2.819080738551127,,0.060451265047783004,614,H4_moderation
2023,FSTS×DAI,-0.6124454875684154,0.38620074284648,0.11277977990951281,974,H4_moderation
2023,FSTS²×DAI,0.4766518788211559,0.5616213648472905,0.39604445407468025,974,H4_moderation
2023,H4_joint_F,3.8142074339498944,,0.02239087920230586,974,H4_moderation
pooled,FSTS×DAI,-0.2021567992422652,0.21492561380866432,0.34691520847882096,2322,H4_moderation
pooled,FSTS²×DAI,0.06619760860846473,0.35540631321094307,0.852241693096004,2322,H4_moderation
pooled,H4_joint_F,2.451067155823629,,0.08642629348205945,2322,H4_moderation
