param,pair,beta_A,beta_B,z,p
FSTS_c,2009 vs 2015,0.3694700812467378,0.7315505215324482,-0.5903167099108904,0.5549783386620992
FSTS_c,2009 vs 2023,0.3694700812467378,0.7067254272070953,-0.5303005898867742,0.5959035377709436
FSTS_c,2015 vs 2023,0.7315505215324482,0.7067254272070953,0.034794883274755536,0.9722433007179443
FSTS_c2,2009 vs 2015,-0.8340007516804959,-1.8584978721398415,1.0060977496096084,0.3143685511139158
FSTS_c2,2009 vs 2023,-0.8340007516804959,-1.2656445854273422,0.4462652646765798,0.6554056440631497
FSTS_c2,2015 vs 2023,-1.8584978721398415,-1.2656445854273422,-0.5703287049056903,0.5684547753301414
TCI_z,2009 vs 2015,0.2241281604786239,0.1680173826340947,0.604901953428381,0.5452441451408934
TCI_z,2009 vs 2023,0.2241281604786239,0.0894574464221348,1.6705644935877395,0.09480773065073533
TCI_z,2015 vs 2023,0.1680173826340947,0.0894574464221348,0.8873746138855446,0.3748772463850365
DAI_z,2009 vs 2015,0.1216849036657566,0.0073310034733866,1.2788106713754224,0.20096373511951193
DAI_z,2009 vs 2023,0.1216849036657566,0.1081650709598673,0.17429470076677991,0.8616338636804022
DAI_z,2015 vs 2023,0.0073310034733866,0.1081650709598673,-1.1435807714750421,0.2527975398133644
