sample,model,variable,beta,se,p,n,r2
CHN_2012,M0_baseline,const,12.783364213790422,0.08824542341189849,0.0,2619,0.020196863443556534
CHN_2012,M0_baseline,FSTS,2.0598019590027623,0.3781742681854416,5.131276858790904e-08,2619,0.020196863443556534
CHN_2012,M0_baseline,FSTS_sq,-2.085120234438824,0.43389033815423184,1.5425819188954857e-06,2619,0.020196863443556534
CHN_2012,M0_baseline,lnemp,-0.10098788163815653,0.022781714175089333,9.29963251869423e-06,2619,0.020196863443556534
CHN_2012,M0_baseline,firm_age,0.008150467895363361,0.003435502499582964,0.017671807859678593,2619,0.020196863443556534
CHN_2012,M0_baseline,foreign_dummy,0.09308171546176756,0.09410690852975119,0.32261124286531495,2619,0.020196863443556534
CHN_2024,M0_baseline,const,12.37126453425795,0.08371449919386341,0.0,1940,0.05162792214360934
CHN_2024,M0_baseline,FSTS,1.4281510589132385,0.5782906767533967,0.013526132766873962,1940,0.05162792214360934
CHN_2024,M0_baseline,FSTS_sq,-1.5015895743384151,0.7102403166784246,0.03449824936831331,1940,0.05162792214360934
CHN_2024,M0_baseline,lnemp,0.12123345536633245,0.023218507239822852,1.7756139935501634e-07,1940,0.05162792214360934
CHN_2024,M0_baseline,firm_age,0.012499600699995112,0.003040957600685131,3.949469816305822e-05,1940,0.05162792214360934
CHN_2024,M0_baseline,foreign_dummy,0.2014564583279852,0.12327384946668285,0.10221288918433706,1940,0.05162792214360934
CHN_pooled,M0_baseline,const,12.29057926612161,0.0650588421455823,0.0,4559,0.05363550603218892
CHN_pooled,M0_baseline,FSTS,1.7822750216092063,0.3187974247194816,2.2626122309726848e-08,4559,0.05363550603218892
CHN_pooled,M0_baseline,FSTS_sq,-1.821224483769864,0.3745512833513676,1.1596107661308663e-06,4559,0.05363550603218892
CHN_pooled,M0_baseline,lnemp,0.007410415299754211,0.016289338233451543,0.6491637219987505,4559,0.05363550603218892
CHN_pooled,M0_baseline,firm_age,0.011609824620418877,0.0021794807326610786,9.991606873368627e-08,4559,0.05363550603218892
CHN_pooled,M0_baseline,foreign_dummy,0.17202467719745163,0.07472278176558125,0.021325488479236966,4559,0.05363550603218892
CHN_pooled,M0_baseline,wave_2024,0.49817696724217836,0.039244289751748734,6.363369347377586e-37,4559,0.05363550603218892
CHN_2012,M0p_TCI_DAI_direct,const,12.629599714986778,0.11337632162969617,0.0,1633,0.04548570983863909
CHN_2012,M0p_TCI_DAI_direct,FSTS,1.659737610505498,0.370201087294584,7.34834559968381e-06,1633,0.04548570983863909
CHN_2012,M0p_TCI_DAI_direct,FSTS_sq,-1.954178961807402,0.4158741029489675,2.6147984700259684e-06,1633,0.04548570983863909
CHN_2012,M0p_TCI_DAI_direct,TCI_full_z,0.20594462202127328,0.03305981794886503,4.680629409293772e-10,1633,0.04548570983863909
CHN_2012,M0p_TCI_DAI_direct,DAI_thin_z,-0.06432434109983833,0.031934070383835736,0.04397954716408162,1633,0.04548570983863909
CHN_2012,M0p_TCI_DAI_direct,lnemp,-0.06565984322386376,0.026653228841897986,0.013759345433236344,1633,0.04548570983863909
CHN_2012,M0p_TCI_DAI_direct,firm_age,0.006217303488634886,0.0031925921534294876,0.05148493963321724,1633,0.04548570983863909
CHN_2012,M0p_TCI_DAI_direct,foreign_dummy,0.11920947522973227,0.10342867188969636,0.2490841796569535,1633,0.04548570983863909
CHN_2024,M0p_TCI_DAI_direct,const,12.732592070548273,0.08776367402207684,0.0,1915,0.08116216122617581
CHN_2024,M0p_TCI_DAI_direct,FSTS,0.8142649519773165,0.5868254326496054,0.1652661598204126,1915,0.08116216122617581
CHN_2024,M0p_TCI_DAI_direct,FSTS_sq,-0.865504266288343,0.7101851439674834,0.22295720581173883,1915,0.08116216122617581
CHN_2024,M0p_TCI_DAI_direct,TCI_full_z,0.28586443692000746,0.03398211691544986,4.0238362775102817e-17,1915,0.08116216122617581
CHN_2024,M0p_TCI_DAI_direct,DAI_thin_z,0.005231439031149518,0.032149956347689426,0.8707389448374144,1915,0.08116216122617581
CHN_2024,M0p_TCI_DAI_direct,lnemp,0.03167018591805428,0.024489467070362494,0.1959361477586451,1915,0.08116216122617581
CHN_2024,M0p_TCI_DAI_direct,firm_age,0.009866970416103427,0.003018086577695232,0.0010782150560682273,1915,0.08116216122617581
CHN_2024,M0p_TCI_DAI_direct,foreign_dummy,0.19900955199379333,0.12709068049900007,0.11737524406426877,1915,0.08116216122617581
CHN_pooled,M0p_TCI_DAI_direct,const,12.261677471652808,0.0771936512799359,0.0,3548,0.10425510973482321
CHN_pooled,M0p_TCI_DAI_direct,FSTS,1.2482688266193562,0.31661920782395053,8.063919987637587e-05,3548,0.10425510973482321
CHN_pooled,M0p_TCI_DAI_direct,FSTS_sq,-1.4323184910370441,0.3703251972942018,0.00010985245042547885,3548,0.10425510973482321
CHN_pooled,M0p_TCI_DAI_direct,TCI_full_zp,0.26622209646582873,0.02452538254264627,1.888852668763613e-27,3548,0.10425510973482321
CHN_pooled,M0p_TCI_DAI_direct,DAI_thin_zp,-0.06431588944225637,0.022533889275675602,0.004314739307211194,3548,0.10425510973482321
CHN_pooled,M0p_TCI_DAI_direct,lnemp,-0.0010093754796617616,0.018092430143907653,0.9555091541346133,3548,0.10425510973482321
CHN_pooled,M0p_TCI_DAI_direct,firm_age,0.009438327252121459,0.0021822642679534326,1.5252098929246879e-05,3548,0.10425510973482321
CHN_pooled,M0p_TCI_DAI_direct,foreign_dummy,0.2009922962830938,0.07899878940546885,0.010951415631622469,3548,0.10425510973482321
CHN_pooled,M0p_TCI_DAI_direct,wave_2024,0.6257881552307047,0.04203295315053745,3.9417429184860862e-50,3548,0.10425510973482321
CHN_2012,M1_overdraft_FSTSsq,const,12.802698525145246,0.09088686140262549,0.0,2531,0.02234311658125765
CHN_2012,M1_overdraft_FSTSsq,FSTS,1.8393752443650104,0.37858291422288326,1.1823084281777841e-06,2531,0.02234311658125765
CHN_2012,M1_overdraft_FSTSsq,FSTS_sq,-1.8128080021005146,0.43567593312562103,3.1698309338240983e-05,2531,0.02234311658125765
CHN_2012,M1_overdraft_FSTSsq,overdraft_z,0.0347605273360845,0.025934823960422737,0.18014679419204482,2531,0.02234311658125765
CHN_2012,M1_overdraft_FSTSsq,FSTSsq_x_overdraft,0.26847319127476577,0.1367003227548825,0.04953538799990995,2531,0.02234311658125765
CHN_2012,M1_overdraft_FSTSsq,lnemp,-0.10528105839000185,0.023287531987384452,6.157158915778134e-06,2531,0.02234311658125765
CHN_2012,M1_overdraft_FSTSsq,firm_age,0.008202668056505677,0.003472790916440754,0.01817754704871526,2531,0.02234311658125765
CHN_2012,M1_overdraft_FSTSsq,foreign_dummy,0.08629880363792573,0.09513100247017951,0.36432350772352584,2531,0.02234311658125765
CHN_2012,M1_line_credit_FSTSsq,const,12.991344560387011,0.09591406588774161,0.0,2511,0.04776942552838692
CHN_2012,M1_line_credit_FSTSsq,FSTS,1.6404979687356323,0.37357638256113307,1.1265830189115755e-05,2511,0.04776942552838692
CHN_2012,M1_line_credit_FSTSsq,FSTS_sq,-1.62688981943318,0.43084576121854873,0.00015934291055301052,2511,0.04776942552838692
CHN_2012,M1_line_credit_FSTSsq,line_credit_z,0.21141221590836823,0.027776550340900735,2.716128640927547e-14,2511,0.04776942552838692
CHN_2012,M1_line_credit_FSTSsq,FSTSsq_x_line_credit,-0.08553385644678695,0.12827884892215677,0.504912243501037,2511,0.04776942552838692
CHN_2012,M1_line_credit_FSTSsq,lnemp,-0.1419135801855271,0.0244820395810093,6.765653863645027e-09,2511,0.04776942552838692
CHN_2012,M1_line_credit_FSTSsq,firm_age,0.006662089653215235,0.0035415741794874245,0.0599569935128169,2511,0.04776942552838692
CHN_2012,M1_line_credit_FSTSsq,foreign_dummy,0.078902201010154,0.0960153442544341,0.41120975809492744,2511,0.04776942552838692
CHN_2012,M3_LA_idx_FSTSsq,const,12.894422264362298,0.09365436522498612,0.0,2590,0.0320372880087213
CHN_2012,M3_LA_idx_FSTSsq,FSTS,1.7171035911679164,0.372816887952808,4.109701967296306e-06,2590,0.0320372880087213
