term,beta,se,t,p,ci_lo,ci_hi,n,adj_rsq
Intercept,11.353085860560338,0.17071984153187672,66.5012675661399,0.0,11.018481119711474,11.687690601409201,617,0.19624738644670192
C(broad_sector)[T.manufacturing],0.14032376013896072,0.11014906176240748,1.2739442160809353,0.20268318668929253,-0.07556443384623596,0.3562119541241574,617,0.19624738644670192
C(broad_sector)[T.retail_services],0.34498931889217205,0.10276914955699416,3.356934647988367,0.000788117385058756,0.14356548703865304,0.5464131507456911,617,0.19624738644670192
fsts_c,2.408923999224807,0.7477214691884283,3.2216862809080986,0.0012743858989693894,0.9434168491481119,3.8744311493015022,617,0.19624738644670192
fsts_c2,-2.5426209374013347,1.0454933154415875,-2.431982012555864,0.015016453032649623,-4.591750181744221,-0.493491693058449,617,0.19624738644670192
TCI,0.15282307108044393,0.041200418729693544,3.709260143278662,0.00020786577063959216,0.0720717342222751,0.23357440793861278,617,0.19624738644670192
DAI,0.01876816338509209,0.04537014484378032,0.41366769821245064,0.6791174865807098,-0.07015568648208297,0.10769201325226714,617,0.19624738644670192
fsts_c_DAI,-1.1666305870701332,0.6862014929227757,-1.7001283137712795,0.08910679256574232,-2.51156079933639,0.17829962519612375,617,0.19624738644670192
fsts_c2_DAI,3.118509354618096,1.1235814408673728,2.775508068387723,0.005511553176676439,0.9163301968204252,5.320688512415767,617,0.19624738644670192
ln_empl,-0.16840705402200512,0.03797979059783974,-4.434122762951304,9.244793950430321e-06,-0.242846075734144,-0.09396803230986625,617,0.19624738644670192
firm_age,0.016270189014221077,0.0033120247465188548,4.91245997824203,8.99407460685656e-07,0.00977873979513872,0.022761638233303433,617,0.19624738644670192
foreign,0.28423127018426225,0.09007854050905988,3.155371618789438,0.001602937932739831,0.10768057500657258,0.46078196536195193,617,0.19624738644670192
