sample,model,term,b,se,p,ci_lo,ci_hi,n,r2
VNM2009,M0,lnEmp,-0.0843,0.0323,0.0091,-0.1476,-0.0209,989,0.1152
VNM2009,M0,FirmAge,0.0109,0.0036,0.0025,0.0038,0.0179,989,0.1152
VNM2009,M0,ForeignOwned,0.5379,0.1238,0.0,0.2952,0.7806,989,0.1152
VNM2009,M1,FSTSc,-0.0338,0.1601,0.8326,-0.3476,0.2799,989,0.1153
VNM2009,M1,lnEmp,-0.0816,0.0354,0.0211,-0.1509,-0.0122,989,0.1153
VNM2009,M1,FirmAge,0.0108,0.0036,0.003,0.0037,0.0179,989,0.1153
VNM2009,M1,ForeignOwned,0.5442,0.1302,0.0,0.289,0.7994,989,0.1153
VNM2009,M2,FSTSc,1.0454,0.431,0.0153,0.2007,1.8901,989,0.121
VNM2009,M2,FSTSc2,-1.7738,0.6818,0.0093,-3.1102,-0.4375,989,0.121
VNM2009,M2,lnEmp,-0.0896,0.0351,0.0108,-0.1584,-0.0207,989,0.121
VNM2009,M2,FirmAge,0.0101,0.0036,0.0048,0.0031,0.0172,989,0.121
VNM2009,M2,ForeignOwned,0.5359,0.1285,0.0,0.284,0.7878,989,0.121
VNM2009,M3,FSTSc,0.9947,0.4551,0.0288,0.1028,1.8866,989,0.1541
VNM2009,M3,FSTSc2,-1.5653,0.7275,0.0314,-2.9913,-0.1394,989,0.1541
VNM2009,M3,TCI_z,0.2055,0.0749,0.0061,0.0588,0.3523,989,0.1541
VNM2009,M3,FSTSc_TCIz,-0.5793,0.3383,0.0869,-1.2424,0.0839,989,0.1541
VNM2009,M3,FSTSc2_TCIz,0.579,0.559,0.3003,-0.5166,1.6746,989,0.1541
VNM2009,M3,lnEmp,-0.1575,0.037,0.0,-0.23,-0.0851,989,0.1541
VNM2009,M3,FirmAge,0.008,0.0035,0.0215,0.0012,0.0148,989,0.1541
VNM2009,M3,ForeignOwned,0.4465,0.1244,0.0003,0.2027,0.6904,989,0.1541
VNM2009,M4,FSTSc,0.8665,0.4247,0.0413,0.0341,1.6989,989,0.1415
VNM2009,M4,FSTSc2,-1.4204,0.6768,0.0358,-2.7469,-0.0939,989,0.1415
VNM2009,M4,DAI_z,0.2407,0.092,0.0089,0.0604,0.421,989,0.1415
VNM2009,M4,FSTSc_DAIz,0.1417,0.4318,0.7429,-0.7047,0.988,989,0.1415
VNM2009,M4,FSTSc2_DAIz,-0.3739,0.7191,0.6031,-1.7834,1.0355,989,0.1415
VNM2009,M4,lnEmp,-0.1311,0.0361,0.0003,-0.2018,-0.0604,989,0.1415
VNM2009,M4,FirmAge,0.0091,0.0035,0.0096,0.0022,0.016,989,0.1415
VNM2009,M4,ForeignOwned,0.5054,0.1251,0.0001,0.2602,0.7506,989,0.1415
VNM2009,M5,FSTSc,0.7886,0.4315,0.0676,-0.0571,1.6343,989,0.1495
VNM2009,M5,FSTSc2,-1.2851,0.6811,0.0592,-2.62,0.0498,989,0.1495
VNM2009,M5,TCI_z,0.2557,0.0452,0.0,0.1671,0.3442,989,0.1495
VNM2009,M5,lnEmp,-0.1532,0.0365,0.0,-0.2248,-0.0816,989,0.1495
VNM2009,M5,FirmAge,0.0079,0.0035,0.0246,0.001,0.0148,989,0.1495
VNM2009,M5,ForeignOwned,0.4379,0.125,0.0005,0.1929,0.6829,989,0.1495
VNM2009,M6,FSTSc,0.9027,0.4263,0.0342,0.0671,1.7382,989,0.1409
VNM2009,M6,FSTSc2,-1.4743,0.6743,0.0288,-2.796,-0.1526,989,0.1409
VNM2009,M6,DAI_z,0.2001,0.042,0.0,0.1178,0.2824,989,0.1409
VNM2009,M6,lnEmp,-0.131,0.036,0.0003,-0.2016,-0.0604,989,0.1409
VNM2009,M6,FirmAge,0.0091,0.0035,0.0098,0.0022,0.0159,989,0.1409
VNM2009,M6,ForeignOwned,0.5055,0.1249,0.0001,0.2606,0.7503,989,0.1409
VNM2009,M7,FSTSc,0.7499,0.4297,0.081,-0.0923,1.592,989,0.1564
VNM2009,M7,FSTSc2,-1.1936,0.679,0.0788,-2.5245,0.1373,989,0.1564
VNM2009,M7,TCI_z,0.2039,0.0483,0.0,0.1093,0.2984,989,0.1564
VNM2009,M7,DAI_z,0.1273,0.0449,0.0046,0.0392,0.2153,989,0.1564
VNM2009,M7,lnEmp,-0.1667,0.0368,0.0,-0.2387,-0.0946,989,0.1564
VNM2009,M7,FirmAge,0.0077,0.0035,0.0277,0.0008,0.0145,989,0.1564
VNM2009,M7,ForeignOwned,0.4384,0.124,0.0004,0.1954,0.6813,989,0.1564
VNM2009,M8,FSTSc,0.7438,0.427,0.0815,-0.0931,1.5807,989,0.1578
VNM2009,M8,FSTSc2,-1.1917,0.6794,0.0794,-2.5233,0.1399,989,0.1578
VNM2009,M8,TCI_z,0.2126,0.05,0.0,0.1146,0.3106,989,0.1578
