panel,sample,term,b,se,p,n
TCI_full_direct,VNM2015,FSTSc,1.102,0.5355,0.0396,958
TCI_full_direct,VNM2015,FSTSc2,-2.0104,0.7429,0.0068,958
TCI_full_direct,VNM2015,TCI_full_z,0.0482,0.0519,0.3528,958
TCI_full_direct,VNM2015,DAI_z,-0.0028,0.0562,0.9603,958
TCI_full_moderation,VNM2015,FSTSc,1.335,0.5962,0.0251,958
TCI_full_moderation,VNM2015,FSTSc2,-2.3047,0.8268,0.0053,958
TCI_full_moderation,VNM2015,TCI_full_z,0.0067,0.0724,0.9262,958
TCI_full_moderation,VNM2015,FSTSc_TCIfull,-0.5343,0.4933,0.2787,958
TCI_full_moderation,VNM2015,FSTSc2_TCIfull,0.604,0.6926,0.3832,958
TCI_full_moderation,VNM2015,joint_F_TCI_full_interactions,0.7487,,0.4733,958
TCI_full_direct,VNM2023,FSTSc,0.6349,0.4795,0.1855,1013
TCI_full_direct,VNM2023,FSTSc2,-1.2259,0.6522,0.0602,1013
TCI_full_direct,VNM2023,TCI_full_z,0.0669,0.0478,0.1612,1013
TCI_full_direct,VNM2023,DAI_z,0.1101,0.0548,0.0445,1013
TCI_full_moderation,VNM2023,FSTSc,0.9488,0.5737,0.0981,1013
TCI_full_moderation,VNM2023,FSTSc2,-1.5792,0.7774,0.0422,1013
TCI_full_moderation,VNM2023,TCI_full_z,0.1169,0.0487,0.0164,1013
TCI_full_moderation,VNM2023,FSTSc_TCIfull,-0.3168,0.3144,0.3137,1013
TCI_full_moderation,VNM2023,FSTSc2_TCIfull,0.185,0.4313,0.6679,1013
TCI_full_moderation,VNM2023,joint_F_TCI_full_interactions,1.8868,,0.1521,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc,1.052,0.6214,0.0905,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc2,-1.7284,0.8308,0.0375,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,TCI_z,0.1173,0.0477,0.0138,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,DAI_rich_cont_z,0.0313,0.0796,0.6939,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc_DAI_rich_cont,-0.7689,0.4776,0.1075,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc2_DAI_rich_cont,0.7191,0.6655,0.28,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,joint_F_DAI_rich_interactions,3.2168,,0.0405,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,FSTSc,1.0552,0.6713,0.116,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,FSTSc2,-1.7589,0.9,0.0507,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,TCI_z,0.1222,0.0488,0.0124,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,DAI_rich_bin_z,0.0191,0.0937,0.8387,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,FSTSc_DAI_rich_bin,-0.7349,0.5776,0.2033,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,FSTSc2_DAI_rich_bin,0.7113,0.7926,0.3695,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,joint_F_DAI_rich_interactions,2.2977,,0.101,1013
DAI_thin_on_rich_sample_2023,VNM2023,FSTSc,0.9961,0.5509,0.0706,1013
DAI_thin_on_rich_sample_2023,VNM2023,FSTSc2,-1.629,0.7457,0.0289,1013
DAI_thin_on_rich_sample_2023,VNM2023,TCI_z,0.1151,0.0514,0.0251,1013
DAI_thin_on_rich_sample_2023,VNM2023,DAI_z,0.0505,0.0665,0.4472,1013
DAI_thin_on_rich_sample_2023,VNM2023,FSTSc_DAIz,-0.6374,0.3563,0.0736,1013
DAI_thin_on_rich_sample_2023,VNM2023,FSTSc2_DAIz,0.5091,0.5142,0.3222,1013
DAI_thin_on_rich_sample_2023,VNM2023,joint_F_DAI_thin_interactions,4.3869,,0.0127,1013
micro_excluded_pooled,VNMpooled_l1ge10,FSTSc,0.7872,0.2973,0.0081,2475
micro_excluded_pooled,VNMpooled_l1ge10,FSTSc2,-1.6341,0.4285,0.0001,2475
micro_excluded_pooled,VNMpooled_l1ge10,TCI_z,0.1801,0.0307,0.0,2475
micro_excluded_pooled,VNMpooled_l1ge10,DAI_z,0.0521,0.0509,0.3055,2475
micro_excluded_pooled,VNMpooled_l1ge10,FSTSc_DAIz,-0.3641,0.2624,0.1653,2475
micro_excluded_pooled,VNMpooled_l1ge10,FSTSc2_DAIz,0.3151,0.3962,0.4265,2475
micro_excluded_pooled,VNMpooled_l1ge10,joint_F_DAI_interactions,2.6279,,0.0724,2475
