model,term,pair,b_a,se_a,b_b,se_b,z,p
M7,FSTSc,VNM2009_vs_VNM2015,0.7499,0.4297,1.0528,0.5292,-0.4444,0.6568
M7,FSTSc2,VNM2009_vs_VNM2015,-1.1936,0.679,-1.9523,0.7329,0.7594,0.4476
M7,TCI_z,VNM2009_vs_VNM2015,0.2039,0.0483,0.1293,0.0535,1.0352,0.3006
M7,DAI_z,VNM2009_vs_VNM2015,0.1273,0.0449,-0.0319,0.0568,2.1977,0.028
M8,FSTSc_DAIz,VNM2009_vs_VNM2015,-0.1065,0.4458,0.0307,0.6221,-0.1793,0.8577
M8,FSTSc2_DAIz,VNM2009_vs_VNM2015,-0.0937,0.7311,-0.5013,0.8857,0.3549,0.7227
M7,FSTSc,VNM2009_vs_VNM2023,0.7499,0.4297,0.6083,0.4827,0.2191,0.8266
M7,FSTSc2,VNM2009_vs_VNM2023,-1.1936,0.679,-1.2003,0.6564,0.0071,0.9944
M7,TCI_z,VNM2009_vs_VNM2023,0.2039,0.0483,0.0908,0.051,1.6114,0.1071
M7,DAI_z,VNM2009_vs_VNM2023,0.1273,0.0449,0.0986,0.0549,0.4043,0.686
M8,FSTSc_DAIz,VNM2009_vs_VNM2023,-0.1065,0.4458,-0.6374,0.3563,0.9303,0.3522
M8,FSTSc2_DAIz,VNM2009_vs_VNM2023,-0.0937,0.7311,0.5091,0.5142,-0.6744,0.5001
M7,FSTSc,VNM2015_vs_VNM2023,1.0528,0.5292,0.6083,0.4827,0.6206,0.5349
M7,FSTSc2,VNM2015_vs_VNM2023,-1.9523,0.7329,-1.2003,0.6564,-0.7644,0.4446
M7,TCI_z,VNM2015_vs_VNM2023,0.1293,0.0535,0.0908,0.051,0.5213,0.6021
M7,DAI_z,VNM2015_vs_VNM2023,-0.0319,0.0568,0.0986,0.0549,-1.652,0.0985
M8,FSTSc_DAIz,VNM2015_vs_VNM2023,0.0307,0.6221,-0.6374,0.3563,0.9319,0.3514
M8,FSTSc2_DAIz,VNM2015_vs_VNM2023,-0.5013,0.8857,0.5091,0.5142,-0.9865,0.3239
