country_iso3,year,rl_est_2023,ge_est_2023,gdp_pcap_ppp_2023_usd,gdp_growth_2023_pct,fdi_inflow_pct_gdp_2023,internet_users_pct_2023,icrv_subregime
AFG,2023,-1.78,-1.46,2113,-2.40,0.50,18.0,Frontier
ARM,2023,-0.07,0.42,17400,8.70,3.20,80.5,Upper-middle
BGD,2023,-0.71,-0.61,7500,5.78,0.42,38.9,Frontier
BHR,2023,0.30,0.40,52400,3.04,4.80,99.0,Advanced-resource
BRN,2023,0.78,0.92,71500,1.40,2.10,98.0,Advanced-resource
BTN,2023,0.41,0.06,11700,5.20,0.60,87.5,Frontier
CHN,2023,-0.18,0.43,21500,5.20,1.60,77.5,Upper-middle
CYP,2023,1.07,1.29,46900,2.25,4.20,93.0,Advanced-innovation
FJI,2023,-0.18,0.04,14200,8.00,4.10,73.0,SIDS
GEO,2023,0.01,0.61,21500,7.50,5.50,78.5,Upper-middle
HKG,2023,1.59,1.74,69500,3.30,15.20,96.4,Advanced-innovation
IDN,2023,-0.20,0.32,15400,5.05,1.40,69.2,Emerging
IND,2023,-0.05,0.18,9200,8.20,1.30,52.4,Emerging
IRQ,2023,-1.30,-1.20,12400,2.20,-2.50,79.4,Frontier
ISR,2023,1.04,1.16,55600,1.70,5.10,90.0,Advanced-innovation
JOR,2023,0.21,0.31,11400,2.65,4.50,90.6,Emerging
KAZ,2023,-0.27,-0.04,30900,5.10,1.40,90.0,Upper-middle
KGZ,2023,-1.02,-0.81,5800,9.10,3.50,78.0,Frontier
KHM,2023,-0.95,-0.65,5200,5.00,9.20,60.0,Frontier
KOR,2023,1.07,1.10,50800,1.40,1.10,98.0,Advanced-innovation
KWT,2023,0.35,0.38,55600,-2.20,1.20,99.7,Advanced-resource
LAO,2023,-0.85,-0.68,9200,3.70,9.10,55.0,Frontier
LBN,2023,-1.21,-0.93,10800,-0.20,1.20,87.0,Frontier
LKA,2023,-0.43,-0.22,12500,1.55,1.60,67.0,Emerging
MDV,2023,0.02,0.43,21800,4.40,17.50,95.0,Frontier
MMR,2023,-1.32,-1.20,4900,1.20,2.30,46.0,Frontier
MNG,2023,-0.49,-0.40,15400,7.10,12.50,82.0,Emerging
MYS,2023,0.45,0.91,33800,3.70,2.40,97.4,Upper-middle
NPL,2023,-0.30,-0.83,5100,1.95,0.20,55.0,Frontier
PAK,2023,-0.74,-0.61,6900,-0.20,0.30,40.5,Frontier
PHL,2023,-0.30,0.16,11400,5.55,2.20,80.4,Emerging
PNG,2023,-0.97,-0.66,4400,2.80,3.40,33.0,SIDS
QAT,2023,0.78,0.96,109800,1.20,1.40,99.7,Advanced-resource
SAU,2023,0.18,0.36,55700,-0.80,2.40,100.0,Advanced-resource
SGP,2023,1.79,2.21,127500,1.20,38.40,99.4,Advanced-innovation
SLB,2023,-0.47,-0.95,2800,2.50,5.50,29.0,SIDS
THA,2023,0.06,0.34,21100,1.85,1.80,90.0,Upper-middle
TJK,2023,-1.08,-0.64,4900,8.40,4.20,72.0,Frontier
TKM,2023,-1.36,-1.34,15700,2.00,4.20,85.0,Frontier
TLS,2023,-0.27,-0.96,4400,1.90,2.20,42.0,Frontier
TON,2023,0.64,-0.16,7100,1.80,2.90,52.0,SIDS
TWN,2023,1.34,1.62,76800,1.40,3.10,92.0,Advanced-innovation
UZB,2023,-0.85,-0.58,10500,5.70,3.60,77.0,Frontier
VNM,2023,0.04,0.10,15500,5.05,4.40,80.6,Emerging
VUT,2023,0.40,-0.65,3300,1.40,2.20,41.0,SIDS
WSM,2023,0.62,-0.04,6800,5.50,3.10,77.0,SIDS
YEM,2023,-2.01,-2.30,2200,-3.20,0.80,32.0,Frontier
