icrv_regime,country_iso3,years,n_firms
Advanced,BHR,2024,150
Advanced,BRN,2025,150
Advanced,CYP,"2019,2024",486
Advanced,HKG,2023,598
Advanced,ISR,"2013,2024",871
Advanced,KOR,2024,1518
Advanced,QAT,2025,480
Advanced,SAU,2025,1002
Advanced,SGP,2023,623
Advanced,TWN,2024,612
Emerging,IDN,"2009,2015,2023",7039
Emerging,IND,"2014,2022,2025",29136
Emerging,JOR,"2013,2019,2024",1766
Emerging,LKA,"2011,2025",1217
Emerging,MNG,"2009,2013,2019,2025",1905
Emerging,PHL,"2009,2023",3663
Emerging,VNM,"2009,2015,2023",3077
Frontier,AFG,"2014,2025",890
Frontier,BGD,"2013,2022",2440
Frontier,BTN,"2009,2015,2024",658
Frontier,IRQ,"2011,2022",1775
Frontier,KGZ,"2009,2013,2019,2023",1219
Frontier,KHM,"2013,2016,2023,2024",3426
Frontier,LAO,"2009,2012,2016,2018,2019,2024",2163
Frontier,MDV,2025,154
Frontier,MMR,"2014,2016",1239
Frontier,NPL,"2009,2013,2023,2024,2025",5707
Frontier,PAK,"2013,2022",2547
Frontier,TJK,"2013,2019,2024",1075
Frontier,TKM,2024,311
Frontier,TLS,"2009,2015,2021",514
Frontier,UZB,"2013,2019,2024",2637
SIDS,FJI,"2009,2025",315
SIDS,SLB,2025,150
SIDS,TON,2024,150
SIDS,VUT,"2009,2023",239
SIDS,WSM,2023,157
Upper-middle,ARM,"2009,2013,2020,2024",1655
Upper-middle,CHN,"2012,2024",4889
Upper-middle,GEO,"2013,2019,2023",1533
Upper-middle,KAZ,"2009,2013,2019,2024",3603
Upper-middle,MYS,"2015,2019,2024",3200
Upper-middle,THA,"2016,2025",1813
