country_iso3,year_survey,icrv_regime,n_firms,fsts_mean,exporter_pct,sme_pct,fdi10_pct,rd_active_pct,iso_cert_pct,website_pct,innov_product_pct,innov_process_pct,log_lp_sd,log_lp_p10,log_lp_p50,log_lp_p90
AFG,2014,Frontier,410,3.392,6.989,92.982,0.0,38.718,19.697,19.512,45.074,78.771,1.469,10.884,12.846,14.286
AFG,2025,Frontier,480,6.427,12.292,91.875,1.042,25.833,11.111,45.833,35.625,89.474,1.422,11.412,13.122,15.035
ARM,2009,Upper-middle,374,7.732,15.013,86.327,8.919,,25.606,57.105,,,1.308,13.807,15.391,17.217
ARM,2013,Upper-middle,360,4.57,12.36,87.115,9.497,,23.611,73.056,15.833,78.947,1.134,14.418,15.713,17.349
ARM,2020,Upper-middle,546,12.05,29.466,82.721,6.239,28.634,12.806,63.736,40.842,72.727,1.042,14.602,15.847,17.362
ARM,2024,Upper-middle,375,13.021,22.667,88.77,7.733,14.706,15.659,64.8,25.867,70.455,1.815,14.074,15.648,17.967
BGD,2013,Frontier,1442,21.739,25.243,70.804,2.427,30.716,21.864,31.992,34.097,58.403,1.293,11.667,13.122,15.025
BGD,2022,Frontier,998,11.53,13.039,78.831,1.603,2.326,11.066,33.367,0.101,0.0,1.187,12.142,13.305,15.164
BHR,2024,Advanced,150,13.726,35.616,66.0,20.134,26.351,57.534,86.0,60.135,48.315,1.43,8.171,10.084,11.667
BRN,2025,Advanced,150,5.081,10.811,90.0,26.174,18.919,27.703,80.667,47.651,40.845,1.103,9.567,10.782,12.619
BTN,2009,Frontier,250,13.072,18.4,89.2,6.0,,8.607,25.2,,,1.527,11.411,13.242,15.39
BTN,2015,Frontier,253,15.173,20.565,94.071,5.179,0.0,8.065,34.921,43.874,56.364,1.429,11.859,13.676,15.775
BTN,2024,Frontier,155,14.084,27.742,90.323,2.581,3.226,8.497,66.234,19.355,23.333,1.048,12.677,13.816,15.423
CHN,2012,Upper-middle,2700,10.872,23.981,63.283,6.018,,62.046,72.185,,,1.11,11.162,12.429,13.969
CHN,2024,Upper-middle,2189,8.797,20.552,71.042,6.015,39.36,38.025,41.996,48.458,79.28,1.302,11.364,13.055,14.695
CYP,2019,Advanced,240,5.416,15.126,85.417,4.603,49.123,40.084,75.0,46.218,69.091,0.801,10.614,11.319,12.443
